id,id_client,id_campaign_model,rebound_flag,delivery_date,open_flag,click_number,answer_flag
MHH7I745,AOCS2BON,BKJE7BTS,False,02/07/2024,False,,False
LHI2O3BH,UVZUWFP6,BKJE7BTS,False,01/24/2024,False,,False
7KT67WSZ,UVZUWFP6,BKJE7BTS,False,01/26/2024,False,,False
3OX4MHMY,UVZUWFP6,BKJE7BTS,False,01/31/2024,True,0.0,False
TNPEWWY1,UVZUWFP6,BKJE7BTS,False,02/07/2024,True,1.0,False
FOT0GHMH,83JR6KSN,BKJE7BTS,False,01/24/2024,False,,False
9EBZXVM4,83JR6KSN,BKJE7BTS,False,01/26/2024,False,,False
1GOLGYN8,83JR6KSN,BKJE7BTS,False,01/31/2024,False,,False
7PO456KJ,83JR6KSN,BKJE7BTS,False,02/07/2024,False,,False
ROMJG3ZY,NKNPJ4Q4,BKJE7BTS,True,01/24/2024,,,
WLU415IN,PWBMPTON,9ELDPIFW,False,01/24/2024,False,,False
7PZBHETC,PWBMPTON,9ELDPIFW,False,02/01/2024,True,3.0,False
P2O50LBM,PWBMPTON,9ELDPIFW,False,02/03/2024,False,,False
KACMO1EY,PWBMPTON,9ELDPIFW,False,02/07/2024,False,,False
IK2NK5AR,BSXNQ913,BKJE7BTS,False,01/24/2024,False,,False
7FA0CPOB,BSXNQ913,BKJE7BTS,False,01/26/2024,False,,False
7HMT1MX0,BSXNQ913,BKJE7BTS,False,01/31/2024,False,,False
SFCD99UR,BSXNQ913,BKJE7BTS,False,02/07/2024,False,,False
WPXDM97Q,U8R3JXMI,9ELDPIFW,False,01/24/2024,False,,False
5OJV1TJZ,U8R3JXMI,9ELDPIFW,False,02/01/2024,False,,False
1AQF3303,U8R3JXMI,9ELDPIFW,False,02/03/2024,False,,False
61J8RNJK,U8R3JXMI,9ELDPIFW,False,02/07/2024,False,,False
79DDE5WF,40XK63K9,BKJE7BTS,False,01/24/2024,False,,False
3DIE8ZZ7,40XK63K9,BKJE7BTS,False,01/26/2024,True,2.0,False
FDYTKT41,40XK63K9,BKJE7BTS,False,01/31/2024,False,,False
U652CDXC,40XK63K9,BKJE7BTS,False,02/07/2024,True,1.0,False
LC64COJK,LMFWSRSN,9ELDPIFW,False,01/24/2024,False,,False
1JGEWHB1,LMFWSRSN,9ELDPIFW,False,02/01/2024,True,2.0,False
DVNDPL7V,LMFWSRSN,9ELDPIFW,False,02/03/2024,False,,False
61Z55C8Y,LMFWSRSN,9ELDPIFW,False,02/07/2024,False,,False
1LKI3TJG,C4TTL7E1,BKJE7BTS,False,01/24/2024,False,,False
U1JPSEFP,C4TTL7E1,BKJE7BTS,False,01/26/2024,False,,False
1FMZST4N,C4TTL7E1,BKJE7BTS,False,01/31/2024,False,,False
QE5DESG9,C4TTL7E1,BKJE7BTS,False,02/07/2024,True,1.0,False
TABXUV3Q,274SBJ4S,9ELDPIFW,False,01/24/2024,True,2.0,False
C66JN7KK,274SBJ4S,9ELDPIFW,False,02/01/2024,True,1.0,False
3CK6DW1U,274SBJ4S,9ELDPIFW,False,02/03/2024,False,,False
MAXHBLMX,274SBJ4S,9ELDPIFW,False,02/07/2024,False,,False
2DF0P7NQ,4TUWK4FJ,9ELDPIFW,False,01/24/2024,False,,False
QEK2RJ0Z,4TUWK4FJ,9ELDPIFW,False,02/01/2024,False,,False
L3P1C4D0,4TUWK4FJ,9ELDPIFW,False,02/03/2024,False,,False
ASL7AUKX,4TUWK4FJ,9ELDPIFW,False,02/07/2024,False,,False
YZX5XLU3,V0TCRXFD,BKJE7BTS,False,01/24/2024,False,,False
VBY9X7FV,V0TCRXFD,BKJE7BTS,False,01/26/2024,False,,False
5I5CNE1O,V0TCRXFD,BKJE7BTS,False,01/31/2024,False,,False
RM2USZUZ,V0TCRXFD,BKJE7BTS,False,02/07/2024,False,,False
1BC7LWHM,NFX7ZRSZ,BKJE7BTS,True,01/24/2024,,,
TJL9HKVE,EVIT8WI6,9ELDPIFW,False,01/24/2024,False,,False
0U946TWQ,EVIT8WI6,9ELDPIFW,False,02/01/2024,False,,False
JZP60CXL,EVIT8WI6,9ELDPIFW,False,02/03/2024,False,,False
QJBBZUT2,EVIT8WI6,9ELDPIFW,False,02/07/2024,True,2.0,False
6ZX8L0BI,U8RQHHYN,BKJE7BTS,False,01/24/2024,False,,False
CUXDHYZK,U8RQHHYN,BKJE7BTS,False,01/26/2024,True,0.0,False
Z2KN6TOY,U8RQHHYN,BKJE7BTS,False,01/31/2024,False,,False
M31MV7FM,U8RQHHYN,BKJE7BTS,False,02/07/2024,True,3.0,False
3CTDR26H,UU4GX1ZW,BKJE7BTS,False,01/24/2024,False,,False
KANPRWNR,UU4GX1ZW,BKJE7BTS,False,01/26/2024,True,1.0,False
KGALS412,UU4GX1ZW,BKJE7BTS,False,01/31/2024,False,,False
E3IML7ZH,UU4GX1ZW,BKJE7BTS,False,02/07/2024,False,,False
UH01E46I,0IJWM8EB,9ELDPIFW,False,01/24/2024,False,,False
S3J332UV,0IJWM8EB,9ELDPIFW,False,02/01/2024,True,2.0,False
IOC2EK9P,0IJWM8EB,9ELDPIFW,False,02/03/2024,False,,False
K5IPQ6JM,0IJWM8EB,9ELDPIFW,False,02/07/2024,False,,False
E0NMPA4T,ET7S3Z8A,BKJE7BTS,False,01/24/2024,False,,False
PRKJRKE8,ET7S3Z8A,BKJE7BTS,False,01/26/2024,False,,False
RPZVB7R1,ET7S3Z8A,BKJE7BTS,False,01/31/2024,False,,False
MK4EHKV8,ET7S3Z8A,BKJE7BTS,False,02/07/2024,False,,False
IG78IY7M,QNDHRP1G,BKJE7BTS,False,01/24/2024,False,,False
CEH4FSRL,QNDHRP1G,BKJE7BTS,False,01/26/2024,True,0.0,False
41KEQ23W,QNDHRP1G,BKJE7BTS,False,01/31/2024,True,0.0,False
CG71NTXP,QNDHRP1G,BKJE7BTS,False,02/07/2024,False,,False
OQZO1YIH,98F92RX6,9ELDPIFW,False,01/24/2024,True,0.0,False
N4PEFRUV,98F92RX6,9ELDPIFW,False,02/01/2024,False,,False
OC3EKPWL,98F92RX6,9ELDPIFW,False,02/03/2024,True,3.0,False
VUVTPHP3,98F92RX6,9ELDPIFW,False,02/07/2024,False,,False
JO8W17HP,KOQLEYU5,9ELDPIFW,False,01/24/2024,False,,False
GTGRHHBM,KOQLEYU5,9ELDPIFW,False,02/01/2024,True,1.0,False
DNXU8P7D,KOQLEYU5,9ELDPIFW,False,02/03/2024,True,1.0,False
8HK1PEA8,KOQLEYU5,9ELDPIFW,False,02/07/2024,True,0.0,False
XIG50U4W,SZJ4NB18,9ELDPIFW,False,01/24/2024,False,,False
1195DFFI,SZJ4NB18,9ELDPIFW,False,02/01/2024,False,,False
22BF051S,SZJ4NB18,9ELDPIFW,False,02/03/2024,True,3.0,False
D34JTQ72,SZJ4NB18,9ELDPIFW,False,02/07/2024,False,,False
7UGDP2NZ,MZ6BEH93,9ELDPIFW,False,01/24/2024,False,,False
VFRP0N5J,MZ6BEH93,9ELDPIFW,False,02/01/2024,False,,False
O7N8CYAQ,MZ6BEH93,9ELDPIFW,False,02/03/2024,False,,False
HOLRP3LU,MZ6BEH93,9ELDPIFW,False,02/07/2024,False,,False
Q42SEAZZ,6DD8XXIB,9ELDPIFW,True,01/24/2024,,,
F1CJU1V1,WLCUUM8M,9ELDPIFW,False,01/24/2024,False,,False
LRBZOBG9,WLCUUM8M,9ELDPIFW,False,02/01/2024,True,3.0,False
N630W7E6,WLCUUM8M,9ELDPIFW,False,02/03/2024,True,2.0,False
N64PQMWX,WLCUUM8M,9ELDPIFW,False,02/07/2024,True,3.0,False
2724RNSY,R7L17E25,9ELDPIFW,True,01/24/2024,,,
JEIQEPHQ,VNI8V2ER,9ELDPIFW,False,01/24/2024,False,,False
Q4ZZQBVV,VNI8V2ER,9ELDPIFW,False,02/01/2024,False,,False
UDI9SJ3W,VNI8V2ER,9ELDPIFW,False,02/03/2024,True,2.0,False
HFYKZ6U8,VNI8V2ER,9ELDPIFW,False,02/07/2024,False,,False
EO53GQAO,O7P93N1S,BKJE7BTS,False,01/24/2024,False,,False
SEYAPXF8,O7P93N1S,BKJE7BTS,False,01/26/2024,True,1.0,False
OGIYBZTP,O7P93N1S,BKJE7BTS,False,01/31/2024,False,,False
TS3ROM2M,O7P93N1S,BKJE7BTS,False,02/07/2024,False,,False
YMVW6OSU,MMC1YF1K,BKJE7BTS,False,01/24/2024,False,,False
6JU90IF3,MMC1YF1K,BKJE7BTS,False,01/26/2024,False,,False
IB61PBPC,MMC1YF1K,BKJE7BTS,False,01/31/2024,True,1.0,False
ZZCVVF84,MMC1YF1K,BKJE7BTS,False,02/07/2024,True,3.0,False
INP83TW1,BVDKCJCK,9ELDPIFW,True,01/24/2024,,,
V8NUCWOE,VWTXFS2W,9ELDPIFW,False,01/24/2024,False,,False
VKW1VB8D,VWTXFS2W,9ELDPIFW,False,02/01/2024,False,,False
5ZEGYCMA,VWTXFS2W,9ELDPIFW,False,02/03/2024,False,,False
F5D8PRHI,VWTXFS2W,9ELDPIFW,False,02/07/2024,False,,False
RD8ECR5V,I3ZRITX7,9ELDPIFW,False,01/24/2024,False,,False
5I5KYH61,I3ZRITX7,9ELDPIFW,False,02/01/2024,True,0.0,False
7XAOKCR8,I3ZRITX7,9ELDPIFW,False,02/03/2024,True,1.0,False
O1H44MXT,I3ZRITX7,9ELDPIFW,False,02/07/2024,True,3.0,False
ON9N6MU2,QVPEN334,9ELDPIFW,False,01/24/2024,False,,False
CUVIB24I,QVPEN334,9ELDPIFW,False,02/01/2024,True,2.0,True
LCUYSYQ8,QVPEN334,9ELDPIFW,False,02/03/2024,False,,False
AZOWQLE5,QVPEN334,9ELDPIFW,False,02/07/2024,False,,False
