Customer,column_target,true_value,prediction,class,probability
OE15005,Coverage,Basic,Basic,Extended,8.040041465797857e-05
OE15005,Coverage,Basic,Basic,Premium,0.0002697400831627
OE15005,Churn,False,False,False,0.7519223697309295
OE15005,Churn,False,False,True,0.2480776302690704
WC83389,Coverage,Basic,Basic,Basic,0.9999804804934768
WC83389,Coverage,Basic,Basic,Extended,1.2435839395383932e-05
WC83389,Coverage,Basic,Basic,Premium,7.083667127614194e-06
WC83389,Churn,False,False,False,0.8465060742955827
WC83389,Churn,False,False,True,0.1534939257044173
FL50705,Coverage,Premium,Premium,Basic,9.814928821777492e-05
FL50705,Coverage,Premium,Premium,Extended,1.704788977910496e-05
FL50705,Coverage,Premium,Premium,Premium,0.9998848028220032
FL50705,Churn,False,False,False,0.8044706551192662
FL50705,Churn,False,False,True,0.1955293448807338
ZK25313,Coverage,Basic,Basic,Basic,0.9999487782742116
ZK25313,Coverage,Basic,Basic,Extended,3.982608394148958e-05
ZK25313,Coverage,Basic,Basic,Premium,1.1395641846962473e-05
ZK25313,Churn,False,False,False,0.7812658778117243
ZK25313,Churn,False,False,True,0.2187341221882757
SV62436,Coverage,Extended,Extended,Basic,6.380056583396334e-06
SV62436,Coverage,Extended,Extended,Extended,0.9999916192042136
SV62436,Coverage,Extended,Extended,Premium,2.000739202908932e-06
SV62436,Churn,False,False,False,0.671067667751104
SV62436,Churn,False,False,True,0.3289323322488959
YH23384,Coverage,Basic,Basic,Basic,0.9996135434496574
YH23384,Coverage,Basic,Basic,Extended,9.181045569065228e-05
YH23384,Coverage,Basic,Basic,Premium,0.0002946460946519
YH23384,Churn,False,False,False,0.8184555144304861
YH23384,Churn,False,False,True,0.1815444855695139
TZ98966,Coverage,Basic,Basic,Basic,0.9999823901327396
TZ98966,Coverage,Basic,Basic,Extended,8.534320345513242e-06
TZ98966,Coverage,Basic,Basic,Premium,9.075546915008794e-06
TZ98966,Churn,False,True,False,0.1449745703524687
TZ98966,Churn,False,True,True,0.8550254296475313
HM55802,Coverage,Basic,Basic,Basic,0.9999894575040464
HM55802,Coverage,Basic,Basic,Extended,7.84356546952896e-06
HM55802,Coverage,Basic,Basic,Premium,2.6989304841262563e-06
HM55802,Churn,False,False,False,0.93661106138102
HM55802,Churn,False,False,True,0.0633889386189799
FS42516,Coverage,Basic,Basic,Basic,0.9999300000966008
FS42516,Coverage,Basic,Basic,Extended,5.228884395035092e-05
FS42516,Coverage,Basic,Basic,Premium,1.771105944889864e-05
FS42516,Churn,False,False,False,0.8864564739902856
FS42516,Churn,False,False,True,0.1135435260097144
US89481,Coverage,Premium,Premium,Basic,0.0001158557405599
US89481,Coverage,Premium,Premium,Extended,2.1623429576224577e-05
US89481,Coverage,Premium,Premium,Premium,0.9998625208298638
US89481,Churn,False,True,False,0.1447255924162587
US89481,Churn,False,True,True,0.8552744075837413
HO30839,Coverage,Extended,Extended,Basic,0.0001087817810788
HO30839,Coverage,Extended,Extended,Extended,0.9997970462613976
HO30839,Coverage,Extended,Extended,Premium,9.4171957523374e-05
HO30839,Churn,True,False,False,0.5945346776690972
HO30839,Churn,True,False,True,0.4054653223309027
GE62437,Coverage,Premium,Premium,Basic,0.0001175321961065
GE62437,Coverage,Premium,Premium,Extended,1.336143408113765e-05
GE62437,Coverage,Premium,Premium,Premium,0.9998691063698122
GE62437,Churn,False,False,False,0.5914763879575884
GE62437,Churn,False,False,True,0.4085236120424116
EJ77678,Coverage,Extended,Extended,Basic,5.569657849368644e-06
EJ77678,Coverage,Extended,Extended,Extended,0.999989635733088
EJ77678,Coverage,Extended,Extended,Premium,4.794609062654758e-06
EJ77678,Churn,False,False,False,0.7036045948684098
EJ77678,Churn,False,False,True,0.2963954051315902
SV85652,Coverage,Basic,Basic,Basic,0.9999963499860198
SV85652,Coverage,Basic,Basic,Extended,2.742820177806549e-06
SV85652,Coverage,Basic,Basic,Premium,9.071938024348968e-07
SV85652,Churn,False,False,False,0.8783637483773228
SV85652,Churn,False,False,True,0.1216362516226771
UL64533,Coverage,Extended,Extended,Basic,0.0002320080828923
UL64533,Coverage,Extended,Extended,Extended,0.9996215839428586
UL64533,Coverage,Extended,Extended,Premium,0.000146407974249
UL64533,Churn,False,True,False,0.3842669180279198
UL64533,Churn,False,True,True,0.6157330819720802
PF41800,Coverage,Basic,Basic,Basic,0.9999718851208296
PF41800,Coverage,Basic,Basic,Extended,1.4091052073034022e-05
PF41800,Coverage,Basic,Basic,Premium,1.4023827097376529e-05
PF41800,Churn,False,False,False,0.6477288409716708
PF41800,Churn,False,False,True,0.3522711590283291
AO98601,Coverage,Basic,Basic,Basic,0.999965774170335
AO98601,Coverage,Basic,Basic,Extended,2.120083250056187e-05
AO98601,Coverage,Basic,Basic,Premium,1.3024997164230944e-05
AO98601,Churn,False,False,False,0.964503437039303
AO98601,Churn,False,False,True,0.035496562960697
SK67821,Coverage,Basic,Basic,Basic,0.9999628903126035
SK67821,Coverage,Basic,Basic,Extended,2.2208491036478085e-05
SK67821,Coverage,Basic,Basic,Premium,1.4901196360051793e-05
SK67821,Churn,False,False,False,0.9269870560338316
SK67821,Churn,False,False,True,0.0730129439661682
YV55495,Coverage,Basic,Basic,Basic,0.9999680186556694
YV55495,Coverage,Basic,Basic,Extended,2.0638964303221463e-05
YV55495,Coverage,Basic,Basic,Premium,1.1342380027214364e-05
YV55495,Churn,False,False,False,0.8986939482404651
YV55495,Churn,False,False,True,0.1013060517595348
KY38074,Coverage,Premium,Premium,Basic,0.0001906341253396
KY38074,Coverage,Premium,Premium,Extended,2.1643710897933784e-05
KY38074,Coverage,Premium,Premium,Premium,0.9997877221637624
KY38074,Churn,False,False,False,0.7241055223561944
KY38074,Churn,False,False,True,0.2758944776438056
DM79012,Coverage,Extended,Extended,Basic,1.538207547124201e-05
DM79012,Coverage,Extended,Extended,Extended,0.9999633702525426
DM79012,Coverage,Extended,Extended,Premium,2.124767198607954e-05
DM79012,Churn,False,False,False,0.7195072663309083
DM79012,Churn,False,False,True,0.2804927336690917
CM61827,Coverage,Extended,Extended,Basic,7.669916225366636e-06
CM61827,Coverage,Extended,Extended,Extended,0.999985454219367
CM61827,Coverage,Extended,Extended,Premium,6.875864407646295e-06
CM61827,Churn,True,True,False,0.0832002756268681
CM61827,Churn,True,True,True,0.9167997243731318
WC35801,Coverage,Basic,Basic,Basic,0.9999911671890104
WC35801,Coverage,Basic,Basic,Extended,4.843841971657124e-06
WC35801,Coverage,Basic,Basic,Premium,3.988969017834355e-06
WC35801,Churn,False,False,False,0.8706644723144783
WC35801,Churn,False,False,True,0.1293355276855217
QG25316,Coverage,Basic,Basic,Basic,0.999927151474365
QG25316,Coverage,Basic,Basic,Extended,5.2343006911326434e-05
QG25316,Coverage,Basic,Basic,Premium,2.050551872374393e-05
QG25316,Churn,True,True,False,0.1647035656735156
QG25316,Churn,True,True,True,0.8352964343264844
MB98372,Coverage,Basic,Basic,Basic,0.9999571702630546
MB98372,Coverage,Basic,Basic,Extended,2.813041318314778e-05
MB98372,Coverage,Basic,Basic,Premium,1.4699323762124757e-05
MB98372,Churn,False,False,False,0.8215318603740557
MB98372,Churn,False,False,True,0.1784681396259443
IL19217,Coverage,Extended,Extended,Basic,1.566461595579305e-05
IL19217,Coverage,Extended,Extended,Extended,0.9998066452812452
IL19217,Coverage,Extended,Extended,Premium,0.000177690102799
IL19217,Churn,False,False,False,0.7359546530393254
IL19217,Churn,False,False,True,0.2640453469606746
SR38658,Coverage,Basic,Basic,Basic,0.9982449623364014
SR38658,Coverage,Basic,Basic,Extended,0.0001039339443121
SR38658,Coverage,Basic,Basic,Premium,0.0016511037192865
SR38658,Churn,True,False,False,0.6318992118744452
SR38658,Churn,True,False,True,0.3681007881255548
DH41343,Coverage,Basic,Basic,Basic,0.999996524480714
DH41343,Coverage,Basic,Basic,Extended,2.360059288523352e-06
DH41343,Coverage,Basic,Basic,Premium,1.1154599973528032e-06
DH41343,Churn,False,False,False,0.9210498342418728
DH41343,Churn,False,False,True,0.0789501657581272
HG65722,Coverage,Premium,Premium,Basic,0.000239226012079
HG65722,Coverage,Premium,Premium,Extended,4.155661321641965e-05
HG65722,Coverage,Premium,Premium,Premium,0.9997192173747044
HG65722,Churn,False,True,False,0.3036671234660504
HG65722,Churn,False,True,True,0.6963328765339496
BU27331,Coverage,Basic,Basic,Basic,0.9998746368903308
BU27331,Coverage,Basic,Basic,Extended,4.287602670388881e-05
BU27331,Coverage,Basic,Basic,Premium,8.24870829653571e-05
BU27331,Churn,False,True,False,0.2198778754292036
BU27331,Churn,False,True,True,0.7801221245707963
XM45289,Coverage,Basic,Basic,Basic,0.9998984603466772
XM45289,Coverage,Basic,Basic,Extended,7.680222992167579e-05
XM45289,Coverage,Basic,Basic,Premium,2.473742340115382e-05
XM45289,Churn,False,False,False,0.8651263017351236
XM45289,Churn,False,False,True,0.1348736982648763
KP34198,Coverage,Extended,Extended,Basic,7.510077894352291e-06
KP34198,Coverage,Extended,Extended,Extended,0.9999687786782898
KP34198,Coverage,Extended,Extended,Premium,2.3711243815887104e-05
KP34198,Churn,True,True,False,0.1265534618848425
KP34198,Churn,True,True,True,0.8734465381151575
SH90947,Coverage,Basic,Basic,Basic,0.9999961247333592
SH90947,Coverage,Basic,Basic,Extended,2.825060068976984e-06
SH90947,Coverage,Basic,Basic,Premium,1.0502065716164809e-06
SH90947,Churn,True,True,False,0.3677626449066312
SH90947,Churn,True,True,True,0.6322373550933688
WE95729,Coverage,Basic,Basic,Basic,0.9984935961242758
WE95729,Coverage,Basic,Basic,Extended,0.0003762179664996
WE95729,Coverage,Basic,Basic,Premium,0.0011301859092244
WE95729,Churn,False,False,False,0.5873720767322076
WE95729,Churn,False,False,True,0.4126279232677924
PY51963,Coverage,Basic,Basic,Basic,0.9992031249315692
PY51963,Coverage,Basic,Basic,Extended,9.36771925784439e-05
PY51963,Coverage,Basic,Basic,Premium,0.0007031978758525
PY51963,Churn,False,False,False,0.7570158911423097
PY51963,Churn,False,False,True,0.2429841088576902
RB69909,Coverage,Basic,Basic,Basic,0.999942570075001
RB69909,Coverage,Basic,Basic,Extended,3.019989390558177e-05
RB69909,Coverage,Basic,Basic,Premium,2.723003109327269e-05
RB69909,Churn,False,False,False,0.7821754083274886
RB69909,Churn,False,False,True,0.2178245916725114
XR95069,Coverage,Basic,Basic,Basic,0.9999897511514384
XR95069,Coverage,Basic,Basic,Extended,8.09275341951755e-06
XR95069,Coverage,Basic,Basic,Premium,2.156095142190658e-06
XR95069,Churn,False,False,False,0.962695993628442
XR95069,Churn,False,False,True,0.037304006371558
FR46645,Coverage,Premium,Premium,Basic,9.227241626040012e-05
FR46645,Coverage,Premium,Premium,Extended,9.28966769323742e-06
FR46645,Coverage,Premium,Premium,Premium,0.9998984379160464
FR46645,Churn,False,False,False,0.628197228507476
FR46645,Churn,False,False,True,0.371802771492524
SY17488,Coverage,Extended,Extended,Basic,1.4195420966586783e-05
SY17488,Coverage,Extended,Extended,Extended,0.9999718984814752
SY17488,Coverage,Extended,Extended,Premium,1.3906097558120208e-05
SY17488,Churn,False,False,False,0.6708076974394332
SY17488,Churn,False,False,True,0.3291923025605667
AP67935,Coverage,Basic,Basic,Basic,0.9999603523043694
AP67935,Coverage,Basic,Basic,Extended,2.61852071846076e-05
AP67935,Coverage,Basic,Basic,Premium,1.346248844598824e-05
AP67935,Churn,False,False,False,0.935985256275187
AP67935,Churn,False,False,True,0.0640147437248129
FS37417,Coverage,Basic,Basic,Basic,0.9997017796194356
FS37417,Coverage,Basic,Basic,Extended,4.29661325354502e-05
FS37417,Coverage,Basic,Basic,Premium,0.0002552542480289
FS37417,Churn,False,True,False,0.128327479999443
FS37417,Churn,False,True,True,0.871672520000557
ML29312,Coverage,Extended,Extended,Basic,0.0003154474823282
ML29312,Coverage,Extended,Extended,Extended,0.9996097596046742
ML29312,Coverage,Extended,Extended,Premium,7.479291299751571e-05
ML29312,Churn,False,False,False,0.5527931342851194
ML29312,Churn,False,False,True,0.4472068657148805
UB61619,Coverage,Premium,Premium,Basic,7.895938964393089e-05
UB61619,Coverage,Premium,Premium,Extended,9.379971572618188e-06
UB61619,Coverage,Premium,Premium,Premium,0.9999116606387836
UB61619,Churn,False,True,False,0.4690908036447151
UB61619,Churn,False,True,True,0.5309091963552849
CD86811,Coverage,Basic,Basic,Basic,0.999988773611716
CD86811,Coverage,Basic,Basic,Extended,5.858262965319812e-06
CD86811,Coverage,Basic,Basic,Premium,5.368125318412177e-06
CD86811,Churn,False,False,False,0.9182590716639653
CD86811,Churn,False,False,True,0.0817409283360348
RU83859,Coverage,Premium,Premium,Basic,0.0005956856755261
RU83859,Coverage,Premium,Premium,Extended,7.622522672575253e-05
RU83859,Coverage,Premium,Premium,Premium,0.999328089097748
RU83859,Churn,False,False,False,0.7186753510695287
RU83859,Churn,False,False,True,0.2813246489304713
FG63582,Coverage,Extended,Extended,Basic,9.968669303163248e-06
FG63582,Coverage,Extended,Extended,Extended,0.9999649502210148
FG63582,Coverage,Extended,Extended,Premium,2.5081109682241377e-05
FG63582,Churn,True,True,False,0.0840962536618795
FG63582,Churn,True,True,True,0.9159037463381204
NN71951,Coverage,Basic,Basic,Basic,0.99971759008033
NN71951,Coverage,Basic,Basic,Extended,0.0002094150427449
NN71951,Coverage,Basic,Basic,Premium,7.299487692533551e-05
NN71951,Churn,False,False,False,0.7685136361744098
NN71951,Churn,False,False,True,0.2314863638255901
WB37082,Coverage,Basic,Basic,Basic,0.9998219318463408
WB37082,Coverage,Basic,Basic,Extended,9.621366878520604e-05
WB37082,Coverage,Basic,Basic,Premium,8.185448487412478e-05
WB37082,Churn,False,True,False,0.3117369434563506
WB37082,Churn,False,True,True,0.6882630565436494
SM52139,Coverage,Basic,Basic,Basic,0.9999855488334112
SM52139,Coverage,Basic,Basic,Extended,1.2847386008327223e-05
SM52139,Coverage,Basic,Basic,Premium,1.6037805804597177e-06
SM52139,Churn,False,False,False,0.8055366559838459
SM52139,Churn,False,False,True,0.1944633440161541
FL82372,Coverage,Basic,Basic,Basic,0.99977827198783
FL82372,Coverage,Basic,Basic,Extended,2.6419372391922616e-05
FL82372,Coverage,Basic,Basic,Premium,0.0001953086397781
FL82372,Churn,False,False,False,0.7630844760264368
FL82372,Churn,False,False,True,0.2369155239735632
DP45816,Coverage,Extended,Extended,Basic,3.1136454628980785e-05
DP45816,Coverage,Extended,Extended,Extended,0.9998728518951832
DP45816,Coverage,Extended,Extended,Premium,9.601165018784016e-05
DP45816,Churn,False,True,False,0.4965569088486187
DP45816,Churn,False,True,True,0.5034430911513813
GW33762,Coverage,Extended,Extended,Basic,1.9749088063384035e-05
GW33762,Coverage,Extended,Extended,Extended,0.9999694520865556
GW33762,Coverage,Extended,Extended,Premium,1.0798825380953631e-05
GW33762,Churn,True,True,False,0.1340122572150204
GW33762,Churn,True,True,True,0.8659877427849796
RZ33670,Coverage,Premium,Premium,Basic,0.000182809984195
RZ33670,Coverage,Premium,Premium,Extended,2.082304872349072e-05
RZ33670,Coverage,Premium,Premium,Premium,0.9997963669670816
RZ33670,Churn,True,False,False,0.5822422788453703
RZ33670,Churn,True,False,True,0.4177577211546297
PY70169,Coverage,Basic,Basic,Basic,0.9982566207694348
PY70169,Coverage,Basic,Basic,Extended,0.0002254463379639
PY70169,Coverage,Basic,Basic,Premium,0.0015179328926012
PY70169,Churn,False,False,False,0.7769501358633863
PY70169,Churn,False,False,True,0.2230498641366137
MO91628,Coverage,Basic,Basic,Basic,0.9999592866883812
MO91628,Coverage,Basic,Basic,Extended,2.4381827039222435e-05
MO91628,Coverage,Basic,Basic,Premium,1.6331484579624226e-05
MO91628,Churn,False,False,False,0.8864437501708472
MO91628,Churn,False,False,True,0.1135562498291527
HW87852,Coverage,Basic,Basic,Basic,0.9999967263189796
HW87852,Coverage,Basic,Basic,Extended,2.173248312230788e-06
HW87852,Coverage,Basic,Basic,Premium,1.1004327079528282e-06
HW87852,Churn,False,False,False,0.8492472927225774
HW87852,Churn,False,False,True,0.1507527072774225
HB20453,Coverage,Basic,Basic,Basic,0.9968876688474044
HB20453,Coverage,Basic,Basic,Extended,0.0004615218480271
HB20453,Coverage,Basic,Basic,Premium,0.0026508093045682
HB20453,Churn,False,True,False,0.1374988146409568
HB20453,Churn,False,True,True,0.8625011853590432
BN87372,Coverage,Basic,Basic,Basic,0.999898918375529
BN87372,Coverage,Basic,Basic,Extended,6.756613586118013e-05
BN87372,Coverage,Basic,Basic,Premium,3.351548860971058e-05
BN87372,Churn,False,False,False,0.8945380713122636
BN87372,Churn,False,False,True,0.1054619286877363
YX23800,Coverage,Basic,Basic,Basic,0.9999794987211248
YX23800,Coverage,Basic,Basic,Extended,1.1565231551869972e-05
YX23800,Coverage,Basic,Basic,Premium,8.936047323170087e-06
YX23800,Churn,False,False,False,0.8085758032842533
YX23800,Churn,False,False,True,0.1914241967157467
DZ87709,Coverage,Basic,Basic,Basic,0.9999585811334988
DZ87709,Coverage,Basic,Basic,Extended,2.6152925689909288e-05
DZ87709,Coverage,Basic,Basic,Premium,1.5265940811418016e-05
DZ87709,Churn,False,False,False,0.8842256188521245
DZ87709,Churn,False,False,True,0.1157743811478755
XW13033,Coverage,Basic,Basic,Basic,0.9999838316730087
XW13033,Coverage,Basic,Basic,Extended,1.1188572616137314e-05
XW13033,Coverage,Basic,Basic,Premium,4.979754374996706e-06
XW13033,Churn,False,False,False,0.9256987979756712
XW13033,Churn,False,False,True,0.0743012020243288
LN31673,Coverage,Extended,Extended,Basic,3.5310786213479566e-05
LN31673,Coverage,Extended,Extended,Extended,0.999868932565518
LN31673,Coverage,Extended,Extended,Premium,9.575664826842896e-05
LN31673,Churn,False,False,False,0.6285934274031751
LN31673,Churn,False,False,True,0.3714065725968248
OM82309,Coverage,Basic,Basic,Basic,0.9951650801935686
OM82309,Coverage,Basic,Basic,Extended,0.0004561102905269
OM82309,Coverage,Basic,Basic,Premium,0.0043788095159045
OM82309,Churn,True,True,False,0.3869072344454297
OM82309,Churn,True,True,True,0.6130927655545703
ZU35962,Coverage,Extended,Extended,Basic,0.0001227997329091
ZU35962,Coverage,Extended,Extended,Extended,0.9998151346248624
ZU35962,Coverage,Extended,Extended,Premium,6.206564222848653e-05
ZU35962,Churn,True,True,False,0.2920071758618304
ZU35962,Churn,True,True,True,0.7079928241381696
VH85817,Coverage,Basic,Basic,Basic,0.9998828589993084
VH85817,Coverage,Basic,Basic,Extended,3.14414276275122e-05
VH85817,Coverage,Basic,Basic,Premium,8.569957306401937e-05
VH85817,Churn,False,False,False,0.8777281677482123
VH85817,Churn,False,False,True,0.1222718322517877
DT85712,Coverage,Basic,Basic,Basic,0.9996141461406997
DT85712,Coverage,Basic,Basic,Extended,3.5128143753683626e-05
DT85712,Coverage,Basic,Basic,Premium,0.0003507257155466
DT85712,Churn,False,False,False,0.7987604501245806
DT85712,Churn,False,False,True,0.2012395498754194
YJ88573,Coverage,Basic,Basic,Basic,0.9999965576010922
YJ88573,Coverage,Basic,Basic,Extended,2.284909888029849e-06
YJ88573,Coverage,Basic,Basic,Premium,1.157489019707985e-06
YJ88573,Churn,False,False,False,0.9206647447875076
YJ88573,Churn,False,False,True,0.0793352552124924
SQ19467,Coverage,Extended,Extended,Basic,1.091212845017534e-05
SQ19467,Coverage,Extended,Extended,Extended,0.9999796653875724
SQ19467,Coverage,Extended,Extended,Premium,9.422483977275856e-06
SQ19467,Churn,False,False,False,0.7501042929468209
SQ19467,Churn,False,False,True,0.249895707053179
HF88410,Coverage,Basic,Basic,Basic,0.9999796093518158
HF88410,Coverage,Basic,Basic,Extended,1.514187019705934e-05
HF88410,Coverage,Basic,Basic,Premium,5.248777987161103e-06
HF88410,Churn,False,False,False,0.8935698949585318
HF88410,Churn,False,False,True,0.1064301050414682
ET79815,Coverage,Extended,Extended,Basic,2.220002795665849e-05
ET79815,Coverage,Extended,Extended,Extended,0.9999713418873802
ET79815,Coverage,Extended,Extended,Premium,6.458084662907751e-06
ET79815,Churn,False,False,False,0.7676334414336277
ET79815,Churn,False,False,True,0.2323665585663722
QC35222,Coverage,Basic,Basic,Basic,0.9999834419212597
QC35222,Coverage,Basic,Basic,Extended,1.375701235198696e-05
QC35222,Coverage,Basic,Basic,Premium,2.8010663883474608e-06
QC35222,Churn,False,False,False,0.8516720252871087
QC35222,Churn,False,False,True,0.1483279747128912
CJ15590,Coverage,Basic,Basic,Basic,0.9999906926568728
CJ15590,Coverage,Basic,Basic,Extended,8.158013896304504e-06
CJ15590,Coverage,Basic,Basic,Premium,1.149329230971774e-06
CJ15590,Churn,False,False,False,0.9037872493659362
CJ15590,Churn,False,False,True,0.0962127506340637
OI48267,Coverage,Extended,Extended,Basic,9.383789388867932e-06
OI48267,Coverage,Extended,Extended,Extended,0.9999854385358002
OI48267,Coverage,Extended,Extended,Premium,5.177674810686866e-06
OI48267,Churn,False,False,False,0.9219876998589756
OI48267,Churn,False,False,True,0.0780123001410244
JY67916,Coverage,Premium,Premium,Basic,0.0005684217573846
JY67916,Coverage,Premium,Premium,Extended,9.93567156556637e-05
JY67916,Coverage,Premium,Premium,Premium,0.9993322215269598
JY67916,Churn,False,True,False,0.4838240682407991
JY67916,Churn,False,True,True,0.5161759317592008
OE75231,Coverage,Extended,Extended,Basic,1.1111858531944254e-05
OE75231,Coverage,Extended,Extended,Extended,0.999942226851745
OE75231,Coverage,Extended,Extended,Premium,4.666128972319059e-05
OE75231,Churn,False,False,False,0.5721933034172149
OE75231,Churn,False,False,True,0.4278066965827851
CZ33664,Coverage,Basic,Basic,Basic,0.999991012137468
CZ33664,Coverage,Basic,Basic,Extended,4.8504882074356185e-06
CZ33664,Coverage,Basic,Basic,Premium,4.137374324631163e-06
CZ33664,Churn,False,False,False,0.9286618897567244
CZ33664,Churn,False,False,True,0.0713381102432758
WK30175,Coverage,Basic,Basic,Basic,0.9999764190303516
WK30175,Coverage,Basic,Basic,Extended,1.7317086053428764e-05
WK30175,Coverage,Basic,Basic,Premium,6.263883595144065e-06
WK30175,Churn,False,False,False,0.9081766824297872
WK30175,Churn,False,False,True,0.0918233175702126
ON44465,Coverage,Extended,Extended,Basic,8.549850445162937e-05
ON44465,Coverage,Extended,Extended,Extended,0.9998632938387472
ON44465,Coverage,Extended,Extended,Premium,5.1207656801126e-05
ON44465,Churn,False,True,False,0.3057075390438672
ON44465,Churn,False,True,True,0.6942924609561327
TV87155,Coverage,Basic,Basic,Basic,0.9995137705955184
TV87155,Coverage,Basic,Basic,Extended,8.698237938209121e-05
TV87155,Coverage,Basic,Basic,Premium,0.0003992470250993
TV87155,Churn,False,False,False,0.6364645291877602
TV87155,Churn,False,False,True,0.3635354708122397
KH48895,Coverage,Basic,Basic,Basic,0.9991653319188776
