Customer,State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Churn
TZ98966,Nevada,2450.190996,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Branch,554.376763,Four-Door Car,Medsize,False
HM55802,California,2392.10789,Basic,Bachelor,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Branch,439.2,Four-Door Car,Medsize,False
FS42516,Oregon,5802.065978,Basic,College,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Call Center,389.185006,Four-Door Car,Large,False
US89481,California,3946.372085,Premium,Bachelor,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Agent,799.2,Four-Door Car,Small,False
HO30839,Washington,5346.916576,Extended,Master,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Branch,516.237951,SUV,Medsize,True
GE62437,Arizona,12902.56014,Premium,College,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal Auto,Call Center,532.8,Four-Door Car,Large,False
EJ77678,Oregon,3235.360468,Extended,Master,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal Auto,Branch,384,Four-Door Car,Small,False
SV85652,Arizona,2454.58354,Basic,College,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal Auto,Call Center,322.294043,Four-Door Car,Small,False
UL64533,Nevada,18975.45611,Extended,High School or Below,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Agent,615.927769,Luxury SUV,Medsize,False
PF41800,California,4715.321344,Basic,Bachelor,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Call Center,308.15089,Four-Door Car,Medsize,False
AO98601,Washington,5018.885233,Basic,Bachelor,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Agent,302.4,Two-Door Car,Small,False
SK67821,Oregon,4932.916345,Basic,Bachelor,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Web,15.437681,Four-Door Car,Medsize,False
YV55495,Arizona,5744.229745,Basic,High School or Below,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Branch,204.475147,Four-Door Car,Medsize,False
KY38074,California,13891.73567,Premium,Bachelor,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Agent,561.6,Four-Door Car,Small,False
DM79012,Oregon,7380.976717,Extended,Master,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Web,436.8,Four-Door Car,Small,False
CM61827,Oregon,3090.034104,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Agent,648,Two-Door Car,Small,True
WC35801,Arizona,2521.633095,Basic,High School or Below,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Call Center,157.397849,Four-Door Car,Medsize,False
QG25316,Nevada,2652.061785,Basic,High School or Below,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Corporate Auto,Call Center,484.318536,Two-Door Car,Medsize,True
MB98372,Oregon,2771.045031,Basic,College,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Agent,18.918935,Two-Door Car,Medsize,False
IL19217,California,3939.00637,Extended,Bachelor,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Agent,882.871945,Four-Door Car,Small,False
SR38658,Arizona,12231.87968,Basic,High School or Below,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Agent,494.4,Sports Car,Medsize,True
DH41343,Washington,2443.665166,Basic,College,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Call Center,292.8,Four-Door Car,Large,False
HG65722,Oregon,12819.10289,Premium,Doctor,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal Auto,Branch,0.517753,SUV,Medsize,False
BU27331,Arizona,4468.510542,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal Auto,Call Center,579.165954,Four-Door Car,Medsize,False
XM45289,Oregon,5514.344018,Basic,High School or Below,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Agent,447.79344,Two-Door Car,Medsize,False
KP34198,California,3343.875326,Extended,Bachelor,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Call Center,529.624084,Four-Door Car,Medsize,True
SH90947,Arizona,2294.478927,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Branch,313.023175,Four-Door Car,Medsize,True
WE95729,Oregon,36707.42639,Basic,College,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Agent,593.830288,SUV,Small,False
PY51963,California,33473.34946,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Web,508.8,SUV,Medsize,False
RB69909,Nevada,7983.431709,Basic,High School or Below,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Branch,173.956072,Four-Door Car,Medsize,False
XR95069,Washington,4854.745666,Basic,Bachelor,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Agent,307.2,Four-Door Car,Medsize,False
FR46645,California,4293.997319,Premium,Bachelor,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Branch,831.625979,Four-Door Car,Small,False
SY17488,Arizona,7164.395543,Extended,College,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Call Center,436.8,Four-Door Car,Small,False
AP67935,California,7619.5158,Basic,College,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Branch,302.56519,Four-Door Car,Medsize,False
FS37417,Arizona,3958.002823,Basic,High School or Below,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Call Center,484.8,SUV,Small,False
ML29312,Oregon,4499.493252,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Call Center,704.768111,SUV,Medsize,False
UB61619,Oregon,4059.567414,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Agent,518.4,Four-Door Car,Medsize,False
CD86811,Arizona,4458.113369,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Agent,312,Four-Door Car,Medsize,False
RU83859,California,8110.333139,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Call Center,504,Two-Door Car,Small,False
FG63582,Oregon,3339.764873,Extended,Bachelor,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Agent,863.327324,Two-Door Car,Small,True
NN71951,California,24261.01777,Basic,High School or Below,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Agent,104.331355,SUV,Medsize,False
WB37082,Arizona,6613.973653,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Branch,676.391482,Four-Door Car,Large,False
SM52139,Washington,2930.693543,Basic,College,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Web,350.4,Four-Door Car,Medsize,False
FL82372,Oregon,8672.194272,Basic,College,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Agent,537.6,SUV,Medsize,False
DP45816,Arizona,11638.66926,Extended,High School or Below,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Branch,465.258644,Two-Door Car,Small,False
GW33762,Oregon,6846.150323,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Call Center,456,Two-Door Car,Large,True
RZ33670,California,11727.77648,Premium,College,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Web,500.254235,Four-Door Car,Medsize,True
PY70169,Oregon,22643.83478,Basic,High School or Below,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Agent,281.451042,SUV,Medsize,False
MO91628,Oregon,2614.474305,Basic,Master,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Web,5.434505,Two-Door Car,Large,False
HW87852,Oregon,2451.752695,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Agent,307.2,Four-Door Car,Medsize,False
HB20453,Oregon,6781.270203,Basic,Bachelor,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Agent,982.399613,Sports Car,Medsize,False
BN87372,Oregon,4974.801539,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Branch,467.803638,Two-Door Car,Medsize,False
YX23800,Oregon,8591.604933,Basic,Bachelor,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Branch,350.4,Four-Door Car,Small,False
DZ87709,Oregon,5592.161392,Basic,High School or Below,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Call Center,29.03416,Four-Door Car,Medsize,False
XW13033,Nevada,8009.472833,Basic,College,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Agent,321.6,Four-Door Car,Medsize,False
LN31673,Washington,11318.08982,Extended,College,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Agent,115.728852,Four-Door Car,Medsize,False
OM82309,California,58166.55351,Basic,Bachelor,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Branch,427.63121,Luxury Car,Small,True
ZU35962,California,8025.229358,Extended,College,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Branch,25.807685,Two-Door Car,Large,True
VH85817,California,5780.182197,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Call Center,787.993313,Four-Door Car,Medsize,False
DT85712,California,4118.539113,Basic,Doctor,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Branch,489.6,SUV,Medsize,False
YJ88573,Nevada,2523.07015,Basic,Master,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Call Center,302.4,Four-Door Car,Large,False
SQ19467,Oregon,6554.216396,Extended,College,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Agent,475.623251,Four-Door Car,Small,False
HF88410,Washington,7703.397294,Basic,High School or Below,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Call Center,320.849072,Four-Door Car,Medsize,False
ET79815,California,5926.729379,Extended,College,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Agent,460.8,Four-Door Car,Medsize,False
QC35222,California,2683.470677,Basic,Bachelor,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Web,282.151207,Four-Door Car,Medsize,False
CJ15590,Oregon,2695.182419,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Branch,321.6,Four-Door Car,Medsize,False
OI48267,California,6047.02516,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Branch,364.8,Four-Door Car,Medsize,False
JY67916,Oregon,13171.01282,Premium,College,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Branch,679.827592,Two-Door Car,Small,False
OE75231,Washington,10656.88195,Extended,Bachelor,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Call Center,631.743039,Two-Door Car,Medsize,False
CZ33664,Oregon,2527.653796,Basic,Bachelor,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Agent,11.879037,Four-Door Car,Medsize,False
WK30175,Oregon,2672.095756,Basic,Bachelor,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Branch,350.529033,Two-Door Car,Small,False
ON44465,California,5313.294035,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Agent,863.3947,Four-Door Car,Medsize,False
TV87155,Oregon,20946.19251,Basic,Bachelor,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Branch,492.127532,Four-Door Car,Large,False
KH48895,Arizona,8375.353929,Basic,Master,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Branch,132.588288,SUV,Medsize,False
NZ30757,California,4801.661503,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Agent,297.6,Four-Door Car,Medsize,False
RI22468,Arizona,5745.94334,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Web,269.905129,Four-Door Car,Medsize,False
FZ30935,Oregon,6066.115969,Extended,College,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Agent,380.036697,Two-Door Car,Small,False
UG93476,California,8002.308333,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Agent,513.6,SUV,Medsize,False
AB96670,California,2393.915369,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Branch,425.266308,Four-Door Car,Medsize,True
XK64261,Oregon,4762.8179,Basic,Bachelor,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Call Center,49.011099,Two-Door Car,Medsize,False
EV68375,California,4330.38602,Premium,College,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Branch,513.6,Four-Door Car,Medsize,False
UN51653,California,9402.729769,Extended,High School or Below,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Web,936,SUV,Medsize,True
TO96662,Oregon,6966.694527,Extended,Bachelor,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Call Center,142.062768,Four-Door Car,Small,False
MR52087,California,7694.064293,Basic,Bachelor,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Branch,45.152521,Four-Door Car,Medsize,False
DE75225,Oregon,8717.561149,Basic,High School or Below,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Agent,561.6,SUV,Medsize,True
EP80820,California,5928.748528,Basic,Bachelor,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Agent,30.567357,Two-Door Car,Medsize,False
GU99037,Oregon,2452.977288,Basic,College,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Agent,271.606799,Four-Door Car,Medsize,False
WI57118,California,6701.571657,Extended,College,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Agent,408,Four-Door Car,Small,False
YQ74870,Washington,7556.24034,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Web,470.4,Four-Door Car,Small,False
MQ14219,Arizona,8492.6988,Basic,College,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Branch,784.8,SUV,Medsize,False
KN20603,Oregon,7713.494046,Basic,Bachelor,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Agent,316.8,Four-Door Car,Medsize,False
CR48975,Washington,24084.5352,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Branch,396.082036,Four-Door Car,Medsize,False
JI70886,California,7290.069769,Basic,High School or Below,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Agent,489.6,SUV,Medsize,True
VF72557,Oregon,4772.943848,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Agent,638.4,SUV,Medsize,False
OX28638,Arizona,6806.491395,Extended,High School or Below,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Branch,465.633954,Two-Door Car,Medsize,False
SK55033,California,2469.781334,Basic,Bachelor,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Agent,368.400146,Two-Door Car,Medsize,False
OO88645,California,3103.923041,Extended,College,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Call Center,236.902001,Four-Door Car,Medsize,False
YT36855,Washington,2981.875575,Extended,College,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Web,582.679087,Two-Door Car,Medsize,True
CW82151,California,8902.737595,Basic,Bachelor,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Call Center,64.109663,Sports Car,Medsize,False
DY22043,Oregon,5499.447223,Basic,High School or Below,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Branch,326.4,Two-Door Car,Small,False
SH36774,California,15023.59858,Basic,High School or Below,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Web,921.6,Luxury SUV,Medsize,False
EM43724,Nevada,2509.107875,Basic,Bachelor,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Agent,101.89645,Four-Door Car,Medsize,False
FH85960,Oregon,31221.7481,Premium,College,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Call Center,542.4,Four-Door Car,Medsize,True
XA55993,Oregon,3133.503432,Extended,Master,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Branch,143.747794,Four-Door Car,Medsize,False
GO36627,Arizona,3837.451863,Extended,College,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Branch,424.077159,Four-Door Car,Medsize,True
QH48047,Oregon,11790.49617,Basic,College,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Web,316.8,Four-Door Car,Medsize,False
RB50392,Washington,7838.068321,Basic,Master,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Agent,2.704934,Four-Door Car,Medsize,False
UH65059,Arizona,4305.808345,Basic,High School or Below,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Agent,523.2,Sports Car,Medsize,False
FV21968,Nevada,5973.976904,Basic,Bachelor,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Branch,113.801497,Four-Door Car,Medsize,False
QA87025,Oregon,5670.442396,Basic,Bachelor,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Call Center,192.87572,Four-Door Car,Medsize,False
TQ13499,Arizona,4731.749346,Premium,College,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Agent,828.662719,Four-Door Car,Small,True
BU44523,Arizona,8026.379641,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Web,532.8,Four-Door Car,Small,True
MS41162,Arizona,4022.963529,Basic,High School or Below,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Agent,975.107098,SUV,Medsize,True
PU25891,Oregon,9618.310865,Basic,High School or Below,Employed,F,80536,Rural,Married,119,5,83,0,3,Special Auto,Branch,53.798708,Sports Car,Medsize,False
RB81636,Washington,2274.775451,Basic,College,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal Auto,Agent,606.642452,Four-Door Car,Small,False
SX26335,Oregon,9552.926922,Extended,College,Employed,F,97732,Urban,Married,79,0,70,0,2,Personal Auto,Branch,289.9122,Four-Door Car,Medsize,True
AZ95587,Arizona,10388.55323,Extended,Bachelor,Employed,F,61222,Urban,Single,89,20,55,0,2,Special Auto,Branch,392.604371,Four-Door Car,Small,False
DS81757,Oregon,2470.121222,Basic,College,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Personal Auto,Web,721.242206,Two-Door Car,Large,False
OJ94107,Arizona,5619.068508,Premium,Master,Employed,M,50335,Urban,Married,140,9,54,0,1,Personal Auto,Call Center,456.52385,SUV,Medsize,False
LP84436,California,9047.119209,Extended,High School or Below,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Personal Auto,Branch,1087.995426,Sports Car,Medsize,True
YV64727,Washington,6692.143668,Premium,High School or Below,Employed,M,63221,Suburban,Married,168,28,49,0,1,Corporate Auto,Agent,806.4,SUV,Medsize,True
LM19287,Oregon,3731.504584,Extended,High School or Below,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal Auto,Agent,460.8,Four-Door Car,Large,False
ZU18643,Nevada,3660.770258,Extended,Bachelor,Employed,M,64495,Urban,Married,92,34,30,0,1,Corporate Auto,Web,251.992083,Four-Door Car,Medsize,True
AZ82578,California,7928.829252,Basic,College,Unemployed,F,0,Suburban,Married,72,7,75,0,2,Corporate Auto,Call Center,345.6,Four-Door Car,Medsize,False
XC67861,Arizona,5011.751577,Basic,Bachelor,Employed,F,28859,Suburban,Divorced,67,24,51,3,4,Corporate Auto,Call Center,321.6,Two-Door Car,Medsize,False
YC43143,Arizona,7988.258292,Extended,High School or Below,Employed,F,77330,Rural,Married,99,0,21,0,3,Personal Auto,Web,99.257608,Four-Door Car,Medsize,False
EK59571,Oregon,3885.456401,Premium,College,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Corporate Auto,Branch,504,Four-Door Car,Large,True
GD83998,Washington,2659.337982,Basic,Bachelor,Employed,M,24495,Suburban,Single,70,29,65,0,1,Personal Auto,Branch,336,Four-Door Car,Small,False
WA25797,Washington,8564.768226,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Agent,178.006524,Sports Car,Medsize,False
PD27940,Arizona,4885.162511,Extended,High School or Below,Disabled,M,26372,Suburban,Married,126,11,7,0,1,Personal Auto,Agent,604.8,SUV,Medsize,False
BS77946,Arizona,9753.307106,Extended,Bachelor,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,Personal Auto,Branch,8.312729,SUV,Medsize,False
YM50253,California,2946.153697,Basic,Bachelor,Employed,F,89270,Urban,Single,74,17,90,0,1,Personal Auto,Branch,316.599228,Four-Door Car,Medsize,False
NR15332,California,2581.110945,Basic,High School or Below,Employed,M,29757,Suburban,Married,65,13,55,0,1,Personal Auto,Web,312,Four-Door Car,Small,False
RC62865,Oregon,3517.385764,Extended,College,Employed,M,51814,Rural,Single,92,28,89,0,1,Personal Auto,Agent,56.300724,Four-Door Car,Medsize,True
CC15295,Oregon,9743.350113,Extended,Bachelor,Employed,F,24028,Suburban,Married,82,14,27,0,2,Personal Auto,Agent,393.6,Four-Door Car,Small,False
KA61892,Arizona,3873.647046,Basic,College,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal Auto,Agent,701.708239,Sports Car,Medsize,False
OS94884,Arizona,7649.28199,Basic,Bachelor,Employed,F,52705,Rural,Married,64,14,8,1,2,Personal Auto,Web,128.705563,Two-Door Car,Large,False
ND87334,California,2287.59692,Basic,High School or Below,Unemployed,M,0,Suburban,Married,63,1,5,0,1,Corporate Auto,Agent,679.368378,Two-Door Car,Medsize,True
ML93326,Washington,4475.424592,Basic,College,Employed,F,84903,Urban,Married,111,7,63,0,1,Personal Auto,Agent,497.126827,SUV,Medsize,False
YL74911,California,8714.922135,Basic,College,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Agent,566.4,SUV,Medsize,True
JP69864,Washington,2248.449633,Basic,Bachelor,Retired,F,24910,Suburban,Single,63,7,63,1,1,Personal Auto,Branch,347.857619,Four-Door Car,Medsize,False
HL53154,California,7416.197322,Extended,Bachelor,Unemployed,M,0,Suburban,Single,77,15,12,2,2,Personal Auto,Agent,554.4,Four-Door Car,Medsize,True
RI78966,Oregon,7771.158973,Basic,Master,Medical Leave,M,21876,Suburban,Married,68,12,28,0,2,Personal Auto,Agent,465.41477,Four-Door Car,Small,False
IC13702,California,6968.3419,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,33,61,1,2,Personal Auto,Agent,496.8,Four-Door Car,Small,False
BE10809,California,4250.282624,Basic,High School or Below,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal Auto,Agent,292.8,Four-Door Car,Small,False
HT87217,Oregon,19776.56654,Extended,High School or Below,Employed,F,70699,Urban,Divorced,82,1,57,0,2,Personal Auto,Agent,256.813837,Four-Door Car,Medsize,False
TH95618,California,21343.46599,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,11,85,1,2,Personal Auto,Agent,355.2,Four-Door Car,Medsize,True
