column_target,class,Customer,list_driver_names,list_driver_values,list_barrier_names,list_barrier_values,_base_values
Coverage,Basic,IT92328,"['Vehicle Class', 'Income', 'Location Code', 'Months Since Last Claim', 'Marital Status', 'Education', 'Gender', 'Policy Type']","[0.0542517290269528, 0.0003788308027528134, 0.0003255867692304327, 0.0001362293845150269, 7.393796230683846e-05, 1.6852603539958865e-05, 1.116488732052925e-05, 1.944794390996992e-06]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Number of Policies', 'Sales Channel', 'State', 'EmploymentStatus', 'Months Since Policy Inception', 'Vehicle Size', 'Number of Open Complaints']","[-0.6240520242869768, -0.005268830675761125, -0.0021415231472645055, -0.002112040637603563, -0.0006586503050834314, -8.651486858732294e-05, -4.259689151297946e-05, -2.312797196521579e-05, -1.570735536611917e-05, -2.9371600609086757e-06]",0.5799037102047887
Coverage,Basic,LX33054,"['Vehicle Class', 'Location Code', 'Income', 'Gender', 'Marital Status', 'State', 'Education', 'Sales Channel', 'Number of Open Complaints']","[0.7359679618767199, 0.002094976519372825, 0.0017124418418887975, 0.00047663069831052125, 0.00019961742950411112, 3.570119644186968e-05, 3.5598371865825425e-05, 1.788938672446317e-05, 1.954975090719587e-06]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Number of Policies', 'Total Claim Amount', 'Months Since Last Claim', 'Vehicle Size', 'EmploymentStatus', 'Months Since Policy Inception', 'Policy Type']","[-0.2691261867496341, -0.02276785390064316, -0.01856523118563343, -0.014716325204866591, -0.0004896749298475903, -0.00020722194846260322, -0.00018518624742293842, -7.658259239231903e-05, -4.359454318787817e-07]",0.5799037102047887
Coverage,Basic,ZD75163,"['Vehicle Class', 'Location Code', 'Income', 'Gender', 'Marital Status', 'Education', 'Policy Type', 'Number of Open Complaints']","[0.046933843483968375, 0.00026195947168297217, 0.0001715396313822273, 1.9828058325935377e-05, 1.2412075515532245e-05, 1.120341967566579e-05, 1.2413287992026088e-06, 1.679387973467859e-07]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Number of Policies', 'Months Since Last Claim', 'Months Since Policy Inception', 'Vehicle Size', 'EmploymentStatus', 'State', 'Sales Channel']","[-0.6126920190613293, -0.010510448482710594, -0.002015402750840124, -0.0010943930239647205, -0.00023449399176218277, -1.1697054842878152e-05, -7.509207010779578e-06, -3.5690965856411993e-06, -9.95490588153579e-07, -2.8158843451538583e-07]",0.5799037102047887
Coverage,Basic,MJ25422,"['Vehicle Class', 'Number of Policies', 'Location Code', 'Income', 'Sales Channel', 'Months Since Last Claim', 'Education', 'Number of Open Complaints', 'State']","[0.6505087850998861, 0.004691844277564051, 0.004114189067909658, 0.0021743638778894112, 0.0010405332016895732, 9.731062500686141e-05, 4.851697603982033e-05, 4.990113840983949e-06, 1.7792679468386918e-06]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Months Since Policy Inception', 'Marital Status', 'Vehicle Size', 'EmploymentStatus', 'Gender', 'Policy Type']","[-0.19831985628290863, -0.032434134875402594, -0.01549305494791989, -0.0013990994361773896, -0.000360051684491311, -0.0002624278971412013, -0.00017083953183726883, -6.407858934063861e-06, -2.270750455322703e-06]",0.5799037102047887
Coverage,Basic,FM30352,"['Vehicle Class', 'Income', 'Location Code', 'Marital Status', 'Education', 'State', 'Number of Open Complaints']","[0.054850380744499126, 0.000515363326416184, 0.00036507902694435943, 4.6983509986968096e-05, 4.25799154779627e-06, 4.249215118408973e-06, 9.480740208769027e-07]","['Monthly Premium Auto', 'Total Claim Amount', 'Customer Lifetime Value', 'Number of Policies', 'Months Since Last Claim', 'Gender', 'Vehicle Size', 'Months Since Policy Inception', 'Sales Channel', 'EmploymentStatus', 'Policy Type']","[-0.6224298311166226, -0.007350300526573954, -0.003678259141508383, -0.0012634552924452945, -0.00010693597593332785, -8.317330396153029e-05, -3.114000363487041e-05, -3.03573450000929e-05, -4.622084273188361e-06, -3.918582229210582e-06, -6.289984718769866e-08]",0.5799037102047887
Coverage,Basic,HR64765,"['Vehicle Class', 'Income', 'Customer Lifetime Value', 'Location Code', 'Months Since Last Claim', 'Marital Status', 'Gender', 'Education', 'State', 'Number of Open Complaints']","[0.046315594543598126, 0.0003855344121943248, 0.00013173417573054602, 7.488119497773607e-05, 1.0755205511798452e-05, 8.023756547356752e-06, 7.922290608983084e-06, 6.220071072445991e-06, 6.09999083343428e-06, 2.1265647406503495e-06]","['Monthly Premium Auto', 'Total Claim Amount', 'Number of Policies', 'Months Since Policy Inception', 'EmploymentStatus', 'Vehicle Size', 'Policy Type', 'Sales Channel']","[-0.6240690590022097, -0.0014653928847038298, -0.0009292957967831534, -7.976430617914397e-05, -3.83450760980305e-05, -6.259639990462673e-06, -9.327900797670876e-07, -2.8703543762009554e-08]",0.5799037102047887
Coverage,Basic,MS41043,"['Vehicle Class', 'Location Code', 'Income', 'Months Since Last Claim', 'Sales Channel', 'Education', 'State', 'Number of Open Complaints']","[0.638412210126218, 0.0037147601309893987, 0.002126803015369938, 0.0003860128312624019, 0.00020482769088604513, 0.00013640564376608184, 4.100481309848396e-06, 5.236402426239221e-07]","['Monthly Premium Auto', 'Total Claim Amount', 'Customer Lifetime Value', 'Number of Policies', 'EmploymentStatus', 'Vehicle Size', 'Marital Status', 'Months Since Policy Inception', 'Gender', 'Policy Type']","[-0.20593547699437167, -0.011749429821170007, -0.008227157289992277, -0.002224440348581707, -0.001345879858957565, -0.0001978755254070363, -6.682053065494517e-05, -4.1978145162074876e-05, -4.29220881871586e-06, -2.833521173848987e-06]",0.5799037102047887
Coverage,Basic,JN66901,"['Vehicle Class', 'Location Code', 'Income', 'Marital Status', 'Sales Channel', 'Education', 'Gender', 'Policy Type', 'Number of Open Complaints']","[0.653505537283405, 0.0011173946177698332, 0.000923281383833823, 0.0005894795334136216, 0.0004769662898841491, 1.8829934711354333e-05, 1.3823077024328658e-05, 6.969686873222261e-06, 2.7794427329737533e-06]","['Monthly Premium Auto', 'Total Claim Amount', 'Customer Lifetime Value', 'Number of Policies', 'Months Since Policy Inception', 'Months Since Last Claim', 'EmploymentStatus', 'Vehicle Size', 'State']","[-0.21439182748843408, -0.012730417462965146, -0.009200287802732259, -0.0049527229829484255, -0.0007395801618722766, -0.0005450794019408017, -0.00014310572527375352, -9.431373291642672e-05, -1.0357153057831645e-05]",0.5799037102047887
Coverage,Basic,DH34004,"['Vehicle Class', 'Location Code', 'Income', 'Months Since Last Claim', 'Gender', 'Education', 'Sales Channel', 'State']","[0.6915732009867306, 0.002022477082058977, 0.0019719500814624567, 0.00045314938554139153, 0.0001389660102749518, 5.389446593536516e-05, 1.7112433862006697e-05, 1.4766629194632345e-05]","['Monthly Premium Auto', 'Total Claim Amount', 'Number of Policies', 'Customer Lifetime Value', 'EmploymentStatus', 'Months Since Policy Inception', 'Vehicle Size', 'Marital Status', 'Number of Open Complaints', 'Policy Type']","[-0.23411451341335174, -0.01862139069089609, -0.017840317223682702, -0.011289607657202173, -0.0002433964135636108, -8.579246987624031e-05, -8.373336761650513e-05, -2.9209227545355335e-05, -2.0339888952356827e-05, -2.5750999885566727e-06]",0.5799037102047887
Coverage,Basic,RN12107,"['Vehicle Class', 'Location Code', 'Income', 'Marital Status', 'Education', 'State', 'Policy Type', 'Number of Open Complaints']","[0.052614906439620496, 0.0008069584029828849, 0.00022042883966288203, 8.84532835955819e-05, 5.130866716814949e-06, 9.117208611785345e-07, 7.123555996539239e-07, 2.4746120686812873e-07]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Number of Policies', 'Months Since Last Claim', 'Gender', 'Vehicle Size', 'EmploymentStatus', 'Months Since Policy Inception', 'Sales Channel']","[-0.6173181773895137, -0.006926259935554169, -0.004967735828013011, -0.003410756468762169, -9.846976267820905e-05, -7.7620348015647e-05, -6.363117050078263e-05, -2.0366408006881178e-05, -2.7514335714495775e-06, -4.757578104102293e-07]",0.5799037102047887
Coverage,Extended,KW56110,"['Customer Lifetime Value', 'Income', 'EmploymentStatus', 'Marital Status', 'Months Since Last Claim', 'Policy Type', 'Months Since Policy Inception', 'State']","[0.00039305849548161744, 6.410973280621648e-05, 2.274785595857583e-05, 1.4636691678464169e-05, 3.8062703122333823e-06, 3.3110975187963605e-06, 2.8317943817339456e-06, 4.960292070283511e-08]","['Monthly Premium Auto', 'Vehicle Class', 'Total Claim Amount', 'Number of Policies', 'Location Code', 'Sales Channel', 'Vehicle Size', 'Number of Open Complaints', 'Education', 'Gender']","[-0.32855262615804054, -0.0012550726380174, -0.00021791259077080425, -0.000131569567221984, -3.431920200087985e-05, -1.1860424996979226e-05, -3.2074679164069585e-06, -2.422586060046492e-06, -2.8116771804859365e-07, -8.547728703348718e-08]",0.3299674595900727
Coverage,Extended,UX92071,"['Customer Lifetime Value', 'Number of Policies', 'Income', 'Total Claim Amount', 'EmploymentStatus', 'Policy Type', 'State']","[8.90836703901667e-05, 4.374265275584107e-05, 4.072708111076739e-05, 4.0111368463464386e-05, 2.327653242206278e-05, 1.718607069324867e-06, 1.343528842345787e-08]","['Monthly Premium Auto', 'Vehicle Class', 'Sales Channel', 'Months Since Last Claim', 'Gender', 'Marital Status', 'Months Since Policy Inception', 'Location Code', 'Vehicle Size', 'Number of Open Complaints', 'Education']","[-0.32810462998901285, -0.0015059481720274667, -4.2905847411408545e-05, -2.044890603378206e-05, -1.2723079235819401e-05, -6.264792522348028e-06, -5.667047130110093e-06, -5.3972893648886535e-06, -5.045747470490784e-06, -1.458796095381275e-06, -5.841507941522909e-07]",0.3299674595900727
Coverage,Extended,LO84523,"['Customer Lifetime Value', 'Income', 'Marital Status', 'EmploymentStatus', 'Policy Type', 'State']","[0.00017806195691588188, 4.481327490089046e-05, 2.1193862067495444e-05, 2.0850564814714864e-05, 1.5401817919061554e-06, 6.458312120698864e-07]","['Monthly Premium Auto', 'Vehicle Class', 'Number of Policies', 'Total Claim Amount', 'Location Code', 'Sales Channel', 'Months Since Policy Inception', 'Number of Open Complaints', 'Gender', 'Months Since Last Claim', 'Vehicle Size', 'Education']","[-0.3284596431142407, -0.0012424104836815772, -0.0001481635084725661, -7.043296688453803e-05, -1.2292397473401787e-05, -1.213829766702194e-05, -6.208839269739239e-06, -4.718901589471633e-06, -4.137358995531511e-06, -4.12687897558258e-06, -2.34914130960086e-06, -1.120775643725631e-06]",0.3299674595900727
Coverage,Extended,YC54142,"['Monthly Premium Auto', 'Vehicle Class', 'Number of Policies', 'Location Code', 'Income', 'Months Since Last Claim', 'Marital Status', 'EmploymentStatus', 'Education', 'Policy Type', 'State']","[0.5257055537272307, 0.2166396462631896, 0.005131475114525011, 0.004114086334681558, 0.002506914305966857, 0.0015980294376748232, 0.001374693854806916, 0.0009559624145592666, 0.0001997383058322579, 8.388027440661694e-05, 1.1000531638383215e-08]","['Customer Lifetime Value', 'Total Claim Amount', 'Gender', 'Vehicle Size', 'Sales Channel', 'Months Since Policy Inception', 'Number of Open Complaints']","[-0.04717599444292475, -0.040758287048431666, -0.0003795088658293024, -0.0002506518155085356, -0.00014940530485304618, -7.82572511099829e-05, -5.223321556558728e-05]",0.3299674595900727
Coverage,Extended,GP99578,"['Number of Policies', 'EmploymentStatus', 'Gender', 'Months Since Last Claim', 'Months Since Policy Inception', 'Income', 'Policy Type']","[5.6450034901660646e-05, 2.5605827320807632e-05, 6.175702279341619e-06, 5.484946369476282e-06, 4.997237414035685e-06, 4.343610318312937e-06, 9.41105349253074e-07]","['Monthly Premium Auto', 'Vehicle Class', 'Total Claim Amount', 'Customer Lifetime Value', 'Sales Channel', 'Marital Status', 'Location Code', 'Vehicle Size', 'Education', 'Number of Open Complaints', 'State']","[-0.3282927011224122, -0.0010397864545444954, -0.00029576416641451564, -5.0475107901988736e-05, -2.3425543829987757e-05, -1.2909211323224732e-05, -9.110651742424839e-06, -3.485607323915196e-06, -2.6524697862075446e-06, -1.411381032167799e-06, -3.881826577205656e-07]",0.3299674595900727
Coverage,Extended,AZ84403,"['Monthly Premium Auto', 'Vehicle Class', 'Income', 'Location Code', 'Number of Policies', 'EmploymentStatus', 'Gender', 'Months Since Policy Inception', 'Months Since Last Claim', 'Policy Type', 'State']","[0.5464653029589872, 0.14576806454506616, 0.0026537316279793923, 0.0023494410705198246, 0.0018295587223236913, 0.0006475731809986127, 0.00014193902331223474, 0.00010844595170153108, 0.00010247637835172445, 9.240789666982441e-05, 4.446099900283033e-09]","['Total Claim Amount', 'Customer Lifetime Value', 'Vehicle Size', 'Sales Channel', 'Number of Open Complaints', 'Marital Status', 'Education']","[-0.017030700394277773, -0.013402907121908184, -9.509976613405098e-05, -5.7858998970858347e-05, -5.044623383326322e-05, -2.831494778762304e-05, -1.2591051587994747e-05]",0.3299674595900727
Coverage,Extended,JT47995,"['Monthly Premium Auto', 'Vehicle Class', 'Location Code', 'Income', 'Number of Policies', 'EmploymentStatus', 'Gender', 'Vehicle Size', 'Policy Type', 'State']","[0.5794864295487067, 0.09095597234429716, 0.001554126801578205, 0.001188291660957001, 0.0010929623174910502, 0.0005228677003218755, 0.000200924463557244, 0.00016129439867590412, 8.640859546471998e-05, 1.9199963952049964e-05]","['Customer Lifetime Value', 'Total Claim Amount', 'Sales Channel', 'Months Since Last Claim', 'Marital Status', 'Number of Open Complaints', 'Months Since Policy Inception', 'Education']","[-0.002920333899310281, -0.0015384535600463055, -0.00045865824604247873, -0.0004031648679561674, -0.00030120321840184744, -3.3222193179791026e-05, -2.7055393348930184e-05, -2.1048496875129366e-06]",0.3299674595900727
Coverage,Extended,HB29169,"['Customer Lifetime Value', 'Total Claim Amount', 'EmploymentStatus', 'Marital Status', 'Number of Open Complaints', 'Months Since Last Claim', 'Gender', 'Policy Type', 'State']","[0.00041247282138459114, 3.1313984854064766e-05, 2.4782991493414617e-05, 1.8622990853818183e-05, 9.244676096565372e-06, 8.413771770670384e-06, 6.801984076923371e-06, 1.8355121833560127e-06, 1.3368633575721855e-08]","['Monthly Premium Auto', 'Vehicle Class', 'Location Code', 'Sales Channel', 'Number of Policies', 'Months Since Policy Inception', 'Income', 'Vehicle Size', 'Education']","[-0.3288760671409192, -0.0013007933181503673, -4.963718590651624e-05, -1.741960636728881e-05, -1.4944169420566292e-05, -6.6772243425454365e-06, -5.71566848643028e-06, -2.8836611842914753e-06, -2.437879641595689e-06]",0.3299674595900727
Coverage,Extended,SS13550,"['Number of Policies', 'Customer Lifetime Value', 'EmploymentStatus', 'Months Since Policy Inception', 'Months Since Last Claim', 'Policy Type', 'Vehicle Size', 'Location Code']","[0.00022080513397760996, 0.00013131778318762886, 2.5785048526560352e-05, 8.017128136120143e-06, 3.6692339895958046e-06, 3.407451909512913e-06, 2.7027885204729278e-06, 2.5247305806786226e-06]","['Monthly Premium Auto', 'Vehicle Class', 'Marital Status', 'Income', 'Total Claim Amount', 'Sales Channel', 'Gender', 'Number of Open Complaints', 'Education', 'State']","[-0.32815813431922697, -0.0018033268807511236, -2.3816876361733338e-05, -2.0294697309762343e-05, -1.7230969821285856e-05, -1.1708789988777613e-05, -4.125602693960043e-06, -1.200925827095723e-06, -5.933644751409842e-07, -2.891325859421192e-07]",0.3299674595900727
Coverage,Extended,VN73653,"['Customer Lifetime Value', 'Sales Channel', 'EmploymentStatus', 'Income', 'Months Since Policy Inception', 'State']","[0.00020796063889366603, 8.029352941284916e-05, 2.900439632750371e-05, 1.805331334880598e-05, 1.4890461090010164e-05, 9.467083909179383e-07]","['Monthly Premium Auto', 'Vehicle Class', 'Total Claim Amount', 'Number of Policies', 'Months Since Last Claim', 'Policy Type', 'Gender', 'Location Code', 'Vehicle Size', 'Number of Open Complaints', 'Education', 'Marital Status']","[-0.32845932861079224, -0.001173392249599626, -0.0001925468763518416, -4.0526789664169704e-05, -2.3067301822043654e-05, -6.796843818897675e-06, -5.768450333973041e-06, -5.073299883282114e-06, -4.7225030118635485e-06, -1.3744411283200156e-06, -1.0977120905153127e-06, -4.202617455391844e-07]",0.3299674595900727
Coverage,Extended,IT92328,"['Sales Channel', 'EmploymentStatus', 'Customer Lifetime Value', 'Months Since Last Claim', 'Location Code', 'Number of Policies', 'Number of Open Complaints', 'Months Since Policy Inception']","[7.204177665784417e-05, 5.919585384247515e-05, 2.5919376997507126e-05, 7.64888584734758e-06, 4.78112414309044e-06, 4.3842130677534065e-06, 2.9659399912016525e-06, 1.6461729307828538e-06]","['Monthly Premium Auto', 'Vehicle Class', 'Total Claim Amount', 'Income', 'Policy Type', 'Marital Status', 'Vehicle Size', 'Education', 'State', 'Gender']","[-0.32887862066814344, -0.000907218972395012, -0.00015497380585101977, -1.5894734777608096e-05, -4.719453813485237e-06, -3.396091403019644e-06, -1.9740455649018175e-06, -1.8942733156307978e-06, -1.03561503633313e-06, -7.217311005673957e-07]",0.3299674595900727
Coverage,Extended,LX33054,"['Customer Lifetime Value', 'Income', 'Marital Status', 'Location Code', 'EmploymentStatus', 'Number of Policies', 'Policy Type', 'State', 'Gender']","[5.6881139669305845e-05, 4.885403170175451e-05, 2.0285052767312692e-05, 1.9645868005342278e-05, 1.6904039819509553e-05, 7.651615528905628e-06, 9.174209131791984e-07, 5.099007650799256e-07, 1.756930842537618e-07]","['Monthly Premium Auto', 'Vehicle Class', 'Total Claim Amount', 'Sales Channel', 'Months Since Last Claim', 'Months Since Policy Inception', 'Number of Open Complaints', 'Vehicle Size', 'Education']","[-0.3283646895763302, -0.0012510624040507376, -0.00019820117026096143, -2.9096255924117003e-05, -1.3713726208600271e-05, -1.051884531854593e-05, -5.58712302709615e-06, -4.039089010804895e-06, -3.64020979260331e-07]",0.3299674595900727
Coverage,Extended,ZD75163,"['Income', 'EmploymentStatus', 'Marital Status', 'Number of Policies', 'Gender']","[3.6725095940925416e-05, 3.297059526032856e-05, 7.3767894994393394e-06, 4.52128259564928e-06, 1.8991964095235675e-06]","['Monthly Premium Auto', 'Vehicle Class', 'Customer Lifetime Value', 'Total Claim Amount', 'Location Code', 'Months Since Last Claim', 'Policy Type', 'Months Since Policy Inception', 'State', 'Vehicle Size', 'Education', 'Number of Open Complaints', 'Sales Channel']","[-0.328021666796604, -0.0011366472094687047, -0.0002901213890160231, -0.00024623445478966953, -1.873532060884436e-05, -7.021062664078434e-06, -3.9649700720037515e-06, -3.2066600191650508e-06, -3.1123770464059537e-06, -1.2097325212349622e-06, -7.956447987197572e-07, -7.563794905522076e-07, -3.920088453605646e-07]",0.3299674595900727
Coverage,Extended,MJ25422,"['Total Claim Amount', 'Income', 'EmploymentStatus', 'Marital Status', 'Gender', 'Policy Type', 'State']","[8.565802768570373e-05, 3.822865048103147e-05, 2.6414290926232782e-05, 2.3641655173205052e-05, 7.6240585257391665e-06, 4.219315242740893e-06, 1.3822239704660197e-08]","['Monthly Premium Auto', 'Vehicle Class', 'Number of Policies', 'Sales Channel', 'Months Since Policy Inception', 'Customer Lifetime Value', 'Location Code', 'Number of Open Complaints', 'Months Since Last Claim', 'Vehicle Size', 'Education']","[-0.3281409301067724, -0.0011222396292393801, -5.4218485846164144e-05, -3.42514550606929e-05, -2.9993710010979554e-05, -2.2427593861843264e-05, -1.3666730966613697e-05, -6.255177608161326e-06, -4.3228698781776e-06, -4.276852145377723e-06, -2.5310425943487274e-06]",0.3299674595900727
