sPerson,product_name,probabilidad_compra,lead_scoring,tiene_producto,product_category,list_driver_names_x,list_driver_values_x,list_barrier_names_x,list_barrier_values_x,_base_values_x,product_name,ResultHistoricoCampañas,Ingresos,ComercialAsignado,IdSex,YearsSinceCampaign,Edad,UltimoContacto,_base_values_y,positive_impact_factors,negative_impact_factors
10545,Salud,0.059624964588149997,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'IdSex']","[0.0018115669299510128, 0.00043743059357997325, 6.0717787847333374e-05]","['Edad', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[-0.02776575256335973, -0.0015811686685388072, -0.0004240517879860444]",0.0686508495464269,Salud,Resolt,,1.0,0,0,92,,0.1257867645753929,IdSex 1% (0),"Edad -11% (92), UltimoContacto -2% (), YearsSinceCampaign -1% (0)"
10546,Salud,0.0018063625488262665,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0005369760312580387, 0.0003911881647194549, 3.049785838898558e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.051170344556709546, -0.002082811771668561, -0.0004893047090227388]",0.0686508495464269,Salud,,,1.0,1,,84,39.0,0.1257867645753929,"UltimoContacto 2% (39.0), Ingresos 1% (), ResultHistoricoCRM 1% ()","Edad -10% (84), IdSex -5% (1)"
10571,Salud,0.01680387073955,Low,0.0,Mutua,"['Edad', 'UltimoContacto', 'Ingresos']","[0.005998188680919278, 0.004994430761390193, 0.0006899690634874407]","['YearsSinceCampaign', 'IdSex', 'ResultHistoricoCampañas']","[-0.016370898938523715, -0.0011022365500802447, -0.0006373397299627944]",0.0686508495464269,Salud,No Interessa,,1.0,0,0,51,20.0,0.1257867645753929,"UltimoContacto 9% (20.0), Edad 9% (51), Ingresos 1% ()",ResultHistoricoCRM -2% (No Interessa)
10590,Salud,0.0017784162084859905,Low,0.0,Mutua,['Ingresos'],[0.0017080969125883485],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[-0.04893784123227588, -0.014805680260865362, -0.0021734591514846633, -0.00045349495070675993, -9.41337443063945e-05]",0.0686508495464269,Salud,Resolt,20.001_50.000,1.0,0,0,91,52.0,0.1257867645753929,IdSex 1% (0),"Edad -10% (91), UltimoContacto -1% (52.0)"
10593,Salud,0.0019609033466751746,Low,0.0,Mutua,"['Ingresos', 'ResultHistoricoCampañas']","[0.00035828991703684416, 0.0001247478505653257]","['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'IdSex']","[-0.04797932523678737, -0.014952996551234625, -0.0018509700601800768, -5.7098911227775406e-05]",0.0686508495464269,Salud,No Interessa,,1.0,0,0,89,52.0,0.1257867645753929,IdSex 1% (0),"Edad -11% (89), ResultHistoricoCRM -2% (No Interessa), UltimoContacto -1% (52.0)"
10600,Salud,0.001939771205419154,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.000716207801296915, 0.00012307056687248965, 3.109705636314423e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.0480468112761337, -0.01604329050168825, -6.021119945625841e-05]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,89,52.0,0.1257867645753929,IdSex 1% (0),"Edad -12% (89), UltimoContacto -2% (52.0)"
10648,Salud,0.04051483606924,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'IdSex']","[0.002124072336519431, 0.0005276994494961753, 9.307956848079225e-05]","['Edad', 'ResultHistoricoCampañas', 'YearsSinceCampaign']","[-0.031100807779031393, -0.003620347459150653, -0.0010537268194895839]",0.0686508495464269,Salud,Il·localitzable,,1.0,0,0,92,,0.1257867645753929,,"Edad -11% (92), ResultHistoricoCRM -3% (Il·localitzable), UltimoContacto -2% ()"
10701,Salud,0.002201189733193433,Low,0.0,Mutua,"['Ingresos', 'IdSex', 'ResultHistoricoCampañas', 'YearsSinceCampaign']","[0.000607935510302269, 7.095784027469721e-05, 5.5883933061669175e-05, 3.7449384112710186e-05]","['Edad', 'UltimoContacto']","[-0.06375325628379656, -0.015230700464060033]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,93,60.0,0.1257867645753929,,"Edad -5% (93), UltimoContacto -1% (60.0)"
10713,Salud,0.0024434081139113138,Low,0.0,Mutua,['Ingresos'],[0.0014995868309353117],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[-0.05222479406193912, -0.007701996109479841, -0.0018162920386515272, -0.0005725446679172997, -3.9150218360947965e-05]",0.0686508495464269,Salud,Resolt,,1.0,0,0,91,43.0,0.1257867645753929,IdSex 1% (0),"Edad -17% (91), YearsSinceCampaign -2% (0), ResultHistoricoCRM -1% (Resolt)"
10717,Salud,0.002006094049493743,Low,0.0,Mutua,"['Edad', 'Ingresos', 'UltimoContacto', 'YearsSinceCampaign']","[0.003247027650810955, 0.002489715993752767, 0.00040179476118186794, 0.00012215974399362216]","['IdSex', 'ResultHistoricoCampañas']","[-0.002041113480931383, -1.2006865071814948e-05]",0.0686508495464269,Salud,,50.001_100.000,1.0,1,,54,20.0,0.1257867645753929,"UltimoContacto 16% (20.0), Ingresos 15% (50.001_100.000), Edad 10% (54)",
10783,Salud,0.002201189733193433,Low,0.0,Mutua,"['Ingresos', 'IdSex', 'ResultHistoricoCampañas', 'YearsSinceCampaign']","[0.000607935510302269, 7.095784027469721e-05, 5.5883933061669175e-05, 3.7449384112710186e-05]","['Edad', 'UltimoContacto']","[-0.06375325628379656, -0.015230700464060033]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,89,52.0,0.1257867645753929,,"Edad -5% (89), UltimoContacto -1% (52.0)"
10784,Salud,0.003214902305979193,Low,0.0,Mutua,"['Ingresos', 'ResultHistoricoCampañas', 'YearsSinceCampaign']","[0.0002415655059612079, 3.0168469353763056e-05, 2.0316906767644193e-06]","['Edad', 'UltimoContacto', 'IdSex']","[-0.031315588828953474, -0.0028735989914778766, -0.0021133674837495223]",0.0686508495464269,Salud,,0_20.000,1.0,1,,77,39.0,0.1257867645753929,UltimoContacto 2% (39.0),"Edad -5% (77), IdSex -1% (1)"
10798,Salud,0.001939771205419154,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.000716207801296915, 0.00012307056687248965, 3.109705636314423e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.0480468112761337, -0.01604329050168825, -6.021119945625841e-05]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,86,52.0,0.1257867645753929,"IdSex 2% (0), ResultHistoricoCRM 1% ()","Edad -14% (86), UltimoContacto -2% (52.0)"
10817,Salud,0.0019314822400841147,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0008240630369158801, 0.00016156993018399097, 3.72992041061899e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04837169203239876, -0.015431101490961385, -8.42719621758213e-05]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,88,52.0,0.1257867645753929,"UltimoContacto 2% (52.0), IdSex 2% (0)",Edad -18% (88)
10821,Salud,0.0018940483197756321,Low,0.0,Mutua,['Ingresos'],[0.0007869068734123005],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[-0.047224981217161364, -0.015333194846313174, -0.0010672749987013258, -0.0004323763792021029, -9.127388651149214e-05]",0.0686508495464269,Salud,Resolt,20.001_50.000,1.0,0,1,88,52.0,0.1257867645753929,"UltimoContacto 3% (52.0), IdSex 1% (0)","Edad -14% (88), YearsSinceCampaign -4% (1), ResultHistoricoCRM -1% (Resolt)"
10822,Salud,0.0016779455222587802,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign']","[0.0008988788507165373, 0.0001225641221631935]","['Edad', 'UltimoContacto', 'IdSex', 'ResultHistoricoCampañas']","[-0.027591781374425906, -0.003507044427425899, -0.0004433156595283791, -1.6322809822362717e-06]",0.0686508495464269,Salud,,20.001_50.000,1.0,1,,84,36.0,0.1257867645753929,,"Edad -7% (84), IdSex -3% (1), Ingresos -2% (20.001_50.000)"
10831,Salud,0.0019314822400841147,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[0.0015904926034850074, 0.0001645005139579913, 4.059797647613601e-05, 6.5057482265145256e-06]","['Edad', 'UltimoContacto']","[-0.049363094914194515, -0.015568374659590496]",0.0686508495464269,Salud,,50.001_100.000,1.0,0,,89,52.0,0.1257867645753929,IdSex 1% (0),"Edad -15% (89), Ingresos -1% (50.001_100.000), UltimoContacto -1% (52.0)"
10885,Salud,0.001939771205419154,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.000716207801296915, 0.00012307056687248965, 3.109705636314423e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.0480468112761337, -0.01604329050168825, -6.021119945625841e-05]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,89,52.0,0.1257867645753929,IdSex 1% (0),"Edad -12% (89), UltimoContacto -2% (52.0)"
10890,Salud,0.0024239059471369245,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.00016388734954890033, 0.0001403049982267256, 3.873986966618547e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04353973197256363, -0.016049275958961735, -6.0450556127069735e-05]",0.0686508495464269,Salud,,,1.0,0,,90,52.0,0.1257867645753929,"UltimoContacto 4% (52.0), IdSex 2% (0), YearsSinceCampaign 1% (<NA>)",Edad -26% (90)
10918,Salud,0.01893614427563,Low,0.0,Mutua,[],[],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'Ingresos', 'IdSex']","[-0.042733641676400154, -0.013201131892219496, -0.001433114141148699, -0.0005134837208245249, -0.00011255869163345187, -1.1986909277022088e-05]",0.0686508495464269,Salud,Resolt,,1.0,0,0,87,52.0,0.1257867645753929,"UltimoContacto 8% (52.0), IdSex 2% (0), Ingresos 1% ()","Edad -16% (87), YearsSinceCampaign -1% (0), ResultHistoricoCRM -1% (Resolt)"
10946,Salud,0.06628858985049,Low,0.0,Mutua,"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'Ingresos']","[0.014825372209337424, 0.00814125479940259, 0.0023369362015243137, 0.0009828762719676324, 0.0005081744126392624]",['IdSex'],[-0.0017581884174123793],0.0686508495464269,Salud,,,1.0,0,,53,20.0,0.1257867645753929,"UltimoContacto 7% (20.0), Edad 4% (53), YearsSinceCampaign 1% (<NA>)",
10949,Salud,0.09146445891354,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'YearsSinceCampaign', 'IdSex', 'ResultHistoricoCampañas']","[0.0017494833048841392, 0.0004468720468629133, 5.808836254717557e-05, 5.007988772372453e-05, 2.8621992675845613e-05]",['Edad'],[-0.028863823091208083],0.0686508495464269,Salud,,,1.0,0,,88,,0.1257867645753929,"IdSex 1% (0), YearsSinceCampaign 1% (<NA>)","Edad -14% (88), UltimoContacto -3% ()"
10951,Salud,0.00271531025385551,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'IdSex', 'ResultHistoricoCampañas']","[0.00041398666957565537, 9.965326515665481e-05, 8.582678196816324e-05, 5.726551694333932e-05]","['Edad', 'UltimoContacto']","[-0.0632362422225074, -0.014909638297696046]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,86,52.0,0.1257867645753929,IdSex 2% (0),"Edad -13% (86), Ingresos -3% (20.001_50.000), UltimoContacto -1% (52.0)"
10960,Salud,0.002220785328073272,Low,0.0,Mutua,['Ingresos'],[0.0011950118251520048],"['Edad', 'UltimoContacto', 'ResultHistoricoCampañas', 'YearsSinceCampaign', 'IdSex']","[-0.04362228303817818, -0.009964037298699026, -0.00927944997484405, -0.0010509466710384588, -0.00010063747979197256]",0.0686508495464269,Salud,Venda Potencial,20.001_50.000,1.0,0,1,85,52.0,0.1257867645753929,UltimoContacto 1% (52.0),"Edad -3% (85), ResultHistoricoCRM -1% (Venda Potencial), YearsSinceCampaign -1% (1)"
10965,Salud,0.014201747896129999,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0008026097621696782, 0.0002897464313940396, 9.398124772120757e-05, 1.4681499921902656e-05]","['Edad', 'IdSex']","[-0.028748010811732033, -0.0007343353294237843]",0.0686508495464269,Salud,,,1.0,1,,80,20.0,0.1257867645753929,"UltimoContacto 6% (20.0), Ingresos 2% (), YearsSinceCampaign 1% (<NA>)","Edad -13% (80), IdSex -2% (1)"
10974,Salud,0.0018675251970347252,Low,0.0,Mutua,"['Ingresos', 'ResultHistoricoCampañas']","[0.0009141683545647344, 0.00024334950092883524]","['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'IdSex']","[-0.04840128908747825, -0.014653694001959433, -0.0018001505366526463, -7.655350959124354e-05]",0.0686508495464269,Salud,No Interessa,20.001_50.000,1.0,0,0,87,52.0,0.1257867645753929,"IdSex 1% (0), UltimoContacto 1% (52.0)","Edad -13% (87), ResultHistoricoCRM -3% (No Interessa)"
10979,Salud,0.0016311800252750534,Low,0.0,Mutua,"['Ingresos', 'IdSex']","[0.0006597741829321828, 8.364612652094944e-05]","['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[-0.060074266761338604, -0.014882045641980722, -0.0010385117362462248, -0.0004421380565314005]",0.0686508495464269,Salud,Resolt,20.001_50.000,1.0,0,1,86,52.0,0.1257867645753929,"UltimoContacto 10% (52.0), IdSex 2% (0)","Edad -17% (86), YearsSinceCampaign -7% (1), ResultHistoricoCRM -4% (Resolt)"
10987,Salud,0.04051483606924,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'IdSex', 'ResultHistoricoCampañas']","[0.002216372248540958, 0.0006222661809884468, 0.00010015355393207073, 4.952847235053334e-06]","['Edad', 'YearsSinceCampaign']","[-0.031983690184765115, -0.0010985290439620113]",0.0686508495464269,Salud,Realitzat,,1.0,0,0,87,,0.1257867645753929,"IdSex 2% (0), Ingresos 1% ()","Edad -16% (87), UltimoContacto -2% (), YearsSinceCampaign -2% (0)"
10995,Salud,0.002658658396486659,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'IdSex']","[0.0013497058242837327, 0.0007917608587172527, 2.4242000182498157e-05]","['Edad', 'UltimoContacto', 'ResultHistoricoCampañas']","[-0.04831451865307029, -0.013276424556539374, -0.00476371781986706]",0.0686508495464269,Salud,Pendent companyia,50.001_100.000,1.0,0,0,85,52.0,0.1257867645753929,IdSex 1% (0),"Edad -9% (85), ResultHistoricoCRM -4% (Pendent companyia), UltimoContacto -2% (52.0)"
11008,Salud,0.002343643692754822,Low,0.0,Mutua,['Ingresos'],[7.778651061901008e-05],"['Edad', 'UltimoContacto', 'ResultHistoricoCampañas', 'YearsSinceCampaign', 'IdSex']","[-0.04077035364553127, -0.013554142553448589, -0.003703154621869895, -0.0015713479615565144, -5.4489652258298736e-05]",0.0686508495464269,Salud,Altre,,1.0,0,0,90,52.0,0.1257867645753929,"UltimoContacto 3% (52.0), IdSex 1% (0), Ingresos 1% ()","Edad -24% (90), ResultHistoricoCRM -1% (Altre), YearsSinceCampaign -1% (0)"
11017,Salud,0.0019609033466751746,Low,0.0,Mutua,['Ingresos'],[0.00039074132977939965],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[-0.04703033636376057, -0.015253053472315672, -0.0018509700601800768, -0.0004476585700855555, -7.163090692359578e-05]",0.0686508495464269,Salud,Resolt,,1.0,0,0,86,52.0,0.1257867645753929,"UltimoContacto 5% (52.0), IdSex 1% (0), Ingresos 1% ()","Edad -19% (86), ResultHistoricoCRM -4% (Resolt)"
11037,Salud,0.0036954392895418315,Low,0.0,Mutua,['Ingresos'],[0.0005045781539930204],"['Edad', 'UltimoContacto', 'IdSex', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[-0.024241802063207262, -0.002891076753835885, -0.0016736491242294992, -0.0015013425613060974, -0.00028911903858496287]",0.0686508495464269,Salud,Resolt,,1.0,1,0,81,31.0,0.1257867645753929,"UltimoContacto 2% (31.0), Ingresos 1% ()","Edad -11% (81), IdSex -4% (1), ResultHistoricoCRM -3% (Resolt)"
11047,Salud,0.0027317961912329187,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.00047367419502666213, 0.00017645300995267353, 3.906248617703805e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04712252739450088, -0.014997790686753545, -6.465108444108822e-05]",0.0686508495464269,Salud,,,1.0,0,,87,52.0,0.1257867645753929,"IdSex 1% (0), UltimoContacto 1% (52.0)",Edad -17% (87)
11049,Salud,0.0036434314479128786,Low,0.0,Mutua,"['Edad', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0007741344686233462, 0.00013821804945919418, 1.6542941534003728e-06]","['UltimoContacto', 'Ingresos', 'IdSex']","[-0.005522413967250506, -0.0009744776745422903, -0.000165526327652633]",0.0686508495464269,Salud,,,1.0,0,,50,33.0,0.1257867645753929,"Edad 10% (50), UltimoContacto 6% (33.0), Ingresos 1% ()",
11076,Salud,0.0019314822400841147,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0008240630369158801, 0.00016156993018399097, 3.72992041061899e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04837169203239876, -0.015431101490961385, -8.42719621758213e-05]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,89,52.0,0.1257867645753929,IdSex 1% (0),"Edad -14% (89), UltimoContacto -1% (52.0)"
11078,Salud,0.0024239059471369245,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.00016388734954890033, 0.0001403049982267256, 3.873986966618547e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04353973197256363, -0.016049275958961735, -6.0450556127069735e-05]",0.0686508495464269,Salud,,,1.0,0,,83,52.0,0.1257867645753929,"UltimoContacto 3% (52.0), IdSex 2% (0), Ingresos 1% ()",Edad -13% (83)
11098,Salud,0.00271531025385551,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'IdSex', 'ResultHistoricoCampañas']","[0.00041398666957565537, 9.965326515665481e-05, 8.582678196816324e-05, 5.726551694333932e-05]","['Edad', 'UltimoContacto']","[-0.0632362422225074, -0.014909638297696046]",0.0686508495464269,Salud,,20.001_50.000,1.0,0,,82,52.0,0.1257867645753929,"IdSex 3% (0), UltimoContacto 2% (52.0)","Edad -12% (82), Ingresos -2% (20.001_50.000)"
