email_id,rebound_flag,id_client,id_campaign_model
X8JOHVU9,False,8ZUPCE0B,XJ296CTW
1DQISVCJ,False,8ZUPCE0B,XJ296CTW
HSXTQRKY,False,26F39Z66,XJ296CTW
7C3KPSH5,False,26F39Z66,XJ296CTW
9VDNOX5X,False,26F39Z66,XJ296CTW
AVAA98IZ,False,26F39Z66,XJ296CTW
KIVQACK9,False,75XZZ3W7,X1KSB5MB
8PHW35OB,False,75XZZ3W7,X1KSB5MB
DANR617S,False,75XZZ3W7,X1KSB5MB
HOU5PN7P,False,75XZZ3W7,X1KSB5MB
VGV4EFS9,False,5D3ILJQR,XJ296CTW
B13FOGWG,False,5D3ILJQR,XJ296CTW
BLVVAR1J,False,5D3ILJQR,XJ296CTW
CRSQ2ANQ,False,5D3ILJQR,XJ296CTW
XQ5Y1RZ9,False,39ZPSZ61,XJ296CTW
FM7ST7CV,False,39ZPSZ61,XJ296CTW
866BIM43,False,39ZPSZ61,XJ296CTW
1F0L4VEF,False,39ZPSZ61,XJ296CTW
L7682T70,False,S7BPG8OM,X1KSB5MB
COE3NYTH,False,S7BPG8OM,X1KSB5MB
YCE7Q35I,False,S7BPG8OM,X1KSB5MB
ZE41HOQL,False,S7BPG8OM,X1KSB5MB
XWKZ8OVL,False,EA2YJGQP,X1KSB5MB
AANS66I8,False,EA2YJGQP,X1KSB5MB
RZFHVYCO,False,EA2YJGQP,X1KSB5MB
22FQVV8M,False,EA2YJGQP,X1KSB5MB
Y688FTYN,False,H85BCZQ3,X1KSB5MB
QO7YWD80,False,H85BCZQ3,X1KSB5MB
KLL7R8NM,False,H85BCZQ3,X1KSB5MB
V3516RJG,False,H85BCZQ3,X1KSB5MB
K0BBS20X,False,JR7MD44O,X1KSB5MB
TTKD879X,False,JR7MD44O,X1KSB5MB
O9NU4KB3,False,JR7MD44O,X1KSB5MB
5I0ZJKT9,False,JR7MD44O,X1KSB5MB
BRQU891W,False,FN02W7H3,XJ296CTW
Y36U76Y7,False,FN02W7H3,XJ296CTW
NWEOY8HP,False,FN02W7H3,XJ296CTW
012FJ01C,False,FN02W7H3,XJ296CTW
RNO52VNM,True,X8SKUDJC,XJ296CTW
Q5NFOFAT,False,JNNSTNDD,XJ296CTW
UYTIOSUK,False,JNNSTNDD,XJ296CTW
Y1FKQ8TV,False,JNNSTNDD,XJ296CTW
JNH6RDBH,False,JNNSTNDD,XJ296CTW
LB7J8Z2Y,False,AD97GWAW,XJ296CTW
RK9X1M57,False,AD97GWAW,XJ296CTW
KRVFFLC0,False,AD97GWAW,XJ296CTW
K85OWEHK,False,AD97GWAW,XJ296CTW
54RKDKJ8,False,TDPHF20Z,XJ296CTW
CQW5APM3,False,TDPHF20Z,XJ296CTW
7MZYH5BE,False,TDPHF20Z,XJ296CTW
HOIVAFT3,False,TDPHF20Z,XJ296CTW
ANJ7BLW9,True,26IIME7B,X1KSB5MB
WI81AKIQ,False,DVM152TB,XJ296CTW
JQIWTCU3,False,DVM152TB,XJ296CTW
XL0BJ2UL,False,DVM152TB,XJ296CTW
ROY6S6IE,False,DVM152TB,XJ296CTW
OYDRDLTE,False,LP3F3PRM,X1KSB5MB
93H12NLF,False,LP3F3PRM,X1KSB5MB
KXS8SX2G,False,LP3F3PRM,X1KSB5MB
4Q5Y1FWF,False,LP3F3PRM,X1KSB5MB
VWW9QF2W,True,0KY8IK0Q,X1KSB5MB
VEX0VTQB,False,Y4V39XO9,X1KSB5MB
M1D92G8Q,False,Y4V39XO9,X1KSB5MB
OL9Q9A20,False,Y4V39XO9,X1KSB5MB
GR3DQBHQ,False,Y4V39XO9,X1KSB5MB
HI45N1J4,False,TKLP077P,X1KSB5MB
09L22NWV,False,TKLP077P,X1KSB5MB
AYFLJ2UZ,False,TKLP077P,X1KSB5MB
QHWAWQW4,False,TKLP077P,X1KSB5MB
6A9IPNVZ,False,TR7XVXMD,X1KSB5MB
95VIRKIG,False,TR7XVXMD,X1KSB5MB
1QZ73008,False,TR7XVXMD,X1KSB5MB
PHF6GKQ3,False,TR7XVXMD,X1KSB5MB
FUT8EMDC,False,WJJO5CM6,X1KSB5MB
NAMVGR66,False,WJJO5CM6,X1KSB5MB
6D0C2TYP,False,WJJO5CM6,X1KSB5MB
OTUU6VMO,False,WJJO5CM6,X1KSB5MB
HSGE5MYO,False,U1BKBJAO,X1KSB5MB
MMT5ENO7,False,U1BKBJAO,X1KSB5MB
WBFS2KQA,False,U1BKBJAO,X1KSB5MB
7SE9R8UM,False,U1BKBJAO,X1KSB5MB
4GL57P5P,False,2SCWRPDP,XJ296CTW
JMK8RCEJ,False,2SCWRPDP,XJ296CTW
RVI7LG3M,False,2SCWRPDP,XJ296CTW
0V5PZFJ9,False,2SCWRPDP,XJ296CTW
CMEK07VU,False,3WWQVZYI,X1KSB5MB
JJTMYH8X,False,3WWQVZYI,X1KSB5MB
M2M9PZQD,False,3WWQVZYI,X1KSB5MB
ZHTH2V3A,False,3WWQVZYI,X1KSB5MB
V89V508G,False,7JU8AOD9,XJ296CTW
9PYPPILH,False,7JU8AOD9,XJ296CTW
3WADJOWL,False,7JU8AOD9,XJ296CTW
3U2AS2N6,False,7JU8AOD9,XJ296CTW
3GXG5QSN,False,0HXJ714K,X1KSB5MB
J7LQKPI8,False,0HXJ714K,X1KSB5MB
VD1BWY11,False,0HXJ714K,X1KSB5MB
XUBQXVT6,False,0HXJ714K,X1KSB5MB
D1T2WCTE,False,55AWG1K3,X1KSB5MB
LL6OZV9Z,False,55AWG1K3,X1KSB5MB
8L3PEY6A,False,55AWG1K3,X1KSB5MB
8JRXFHOO,False,55AWG1K3,X1KSB5MB
6IWFYGL7,False,LDUI0DAI,XJ296CTW
Z546ZP10,False,LDUI0DAI,XJ296CTW
LS61EFVG,False,LDUI0DAI,XJ296CTW
2R5Y8FB0,False,LDUI0DAI,XJ296CTW
1HL2ZIO6,False,OZGKLCK9,XJ296CTW
2A8T0CUN,False,OZGKLCK9,XJ296CTW
7AIY1QOF,False,OZGKLCK9,XJ296CTW
1RANN15I,False,OZGKLCK9,XJ296CTW
6P1Y9ZWK,False,DLAAHCG4,XJ296CTW
YFSMBL6T,False,DLAAHCG4,XJ296CTW
SA0T7MN8,False,DLAAHCG4,XJ296CTW
8HTWI67T,False,DLAAHCG4,XJ296CTW
TVRK74Z5,False,RS8WILAE,XJ296CTW
F9RBZ428,False,RS8WILAE,XJ296CTW
942JQ2DF,False,RS8WILAE,XJ296CTW
C54I3F53,False,RS8WILAE,XJ296CTW
IDPW3OEX,False,UNARQN8G,XJ296CTW
A9ZSL85A,False,UNARQN8G,XJ296CTW
HYUD9C47,False,UNARQN8G,XJ296CTW
AUJ6QLE2,False,UNARQN8G,XJ296CTW
WVL3EIOX,False,XXK9DEZB,X1KSB5MB
KVJIWDBM,False,XXK9DEZB,X1KSB5MB
SBP9IXJ0,False,XXK9DEZB,X1KSB5MB
N68OD4VR,False,XXK9DEZB,X1KSB5MB
PCNAXORM,True,7U8FHQL6,X1KSB5MB
SIEZ1GIK,True,NMI365EI,XJ296CTW
OKT54PJ1,False,J64EURQJ,X1KSB5MB
0BHY4X7L,False,J64EURQJ,X1KSB5MB
G5W4IVFQ,False,J64EURQJ,X1KSB5MB
YVROFU61,False,J64EURQJ,X1KSB5MB
